divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,0,384,341,325,1951,1933,0
off,1,384,341,326,1949,1932,0
off,2,385,340,325,1946,1933,0
off,3,384,340,359,1950,1933,0
off,4,381,340,357,1952,1934,0
off,5,383,338,325,1949,1932,0
off,6,385,339,322,1952,1933,0
off,7,385,340,325,1949,1932,0
off,8,384,341,359,1954,1934,0
off,9,381,340,356,1952,1933,0
off,10,382,341,356,1951,1933,0
off,11,381,340,357,1951,1933,0
off,12,384,341,325,1949,1932,0
off,13,385,340,324,1948,1932,0
off,14,385,339,323,1952,1933,0
off,15,385,339,323,1950,1931,0
off,16,385,340,324,1951,1933,0
off,17,384,340,326,1949,1933,0
off,18,385,338,325,1947,1932,0
off,19,381,340,357,1952,1933,0
off,20,382,339,333,1949,1933,0
off,21,384,341,325,1950,1932,0
off,22,384,340,326,1952,1933,0
off,23,382,339,357,1951,1933,0
off,24,383,341,357,1950,1933,0
off,25,383,339,347,1949,1932,0
off,26,383,339,325,1949,1932,0
off,27,386,339,323,1951,1933,0
off,28,383,339,322,1952,1933,0
off,29,385,338,325,1952,1934,0
off,30,385,339,323,1952,1933,0
off,31,386,340,325,1950,1933,0
off,32,385,339,324,1950,1933,0
off,33,384,340,324,1946,1934,0
off,34,385,340,325,1951,1933,0
off,35,385,338,323,1950,1933,0
off,36,383,339,354,1952,1934,0
off,37,382,339,342,1950,1930,0
off,38,382,341,356,1952,1933,0
off,39,383,340,357,1951,1933,0
off,40,382,341,357,1951,1932,0
off,41,383,341,359,1950,1932,0
off,42,385,342,325,1951,1933,0
off,43,384,341,360,1953,1933,0
off,44,385,340,323,1951,1932,0
off,45,384,340,325,1947,1931,0
off,46,385,341,325,1947,1932,0
off,47,382,340,356,1952,1933,0
off,48,383,341,357,1952,1932,0
off,49,382,339,354,1953,1933,0
off,50,383,339,335,1949,1931,0
off,51,385,339,322,1952,1933,0
off,52,385,340,324,1951,1932,0
off,53,383,341,359,1951,1933,0
off,54,382,340,358,1950,1932,0
off,55,385,339,323,1951,1933,0
off,56,386,342,325,1951,1933,0
off,57,382,340,359,1951,1933,0
off,58,382,337,356,1952,1934,0
off,59,382,339,325,1950,1933,0
off,60,382,339,354,1954,1933,0
off,61,385,339,321,1951,1932,0
off,62,382,336,355,1951,1933,0
off,63,383,339,344,1950,1932,0
off,64,385,340,322,1951,1934,0
off,65,385,339,325,1951,1932,0
off,66,386,339,323,1951,1933,0
off,67,384,340,325,1949,1931,0
off,68,386,340,324,1951,1933,0
off,69,383,340,359,1951,1932,0
off,70,384,340,356,1951,1933,0
off,71,383,339,355,1950,1933,0
off,72,382,339,333,1950,1934,0
off,73,383,339,347,1950,1934,0
off,74,383,340,358,1950,1932,0
off,75,383,340,358,1950,1933,0
off,76,384,339,331,1952,1931,0
off,77,381,340,356,1952,1932,0
off,78,383,340,355,1951,1933,0
off,79,385,338,323,1951,1933,0
off,80,385,339,324,1951,1933,0
off,81,384,341,352,1953,1934,0
off,82,382,341,357,1951,1933,0
off,83,385,339,322,1952,1933,0
off,84,384,341,326,1949,1932,0
off,85,386,338,322,1950,1932,0
off,86,385,341,352,1954,1933,0
off,87,383,339,322,1945,1932,0
off,88,384,340,347,1953,1933,0
off,89,382,339,324,1949,1932,0
off,90,386,341,325,1950,1933,0
off,91,383,339,320,1951,1932,0
off,92,382,339,357,1952,1933,0
off,93,383,341,357,1950,1931,0
off,94,385,341,324,1950,1933,0
off,95,382,341,356,1951,1932,0
off,96,382,340,337,1950,1932,0
off,97,384,340,324,1951,1932,0
off,98,382,340,357,1951,1932,0
off,99,384,338,324,1950,1933,0
off,100,382,340,356,1951,1933,0
off,101,387,339,321,1951,1932,0
off,102,384,342,324,1951,1933,0
off,103,382,340,356,1951,1932,0
off,104,382,338,344,1949,1933,0
off,105,385,341,325,1947,1933,0
off,106,382,341,357,1950,1932,0
off,107,381,338,346,1949,1932,0
off,108,383,338,339,1949,1932,0
