foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start off
FOC phase capture armed: divider=off, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >FOC alive flags=0x0004231f sync=361520 steps=0 errors=0 Vbus=0mV.
foc_phase_capture status
FOC phase capture state=complete capture-divider=off rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=off
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,384,341,325,1951,1933,0
FPV,1,384,341,326,1949,1932,0
FPV,2,385,340,325,1946,1933,0
FPV,3,384,340,359,1950,1933,0
FPV,4,381,340,357,1952,1934,0
FPV,5,383,338,325,1949,1932,0
FPV,6,385,339,322,1952,1933,0
FPV,7,385,340,325,1949,1932,0
FPV,8,384,341,359,1954,1934,0
FPV,9,381,340,356,1952,1933,0
FPV,10,382,341,356,1951,1933,0
FPV,11,381,340,357,1951,1933,0
FPV,12,384,341,325,1949,1932,0
FPV,13,385,340,324,1948,1932,0
FPV,14,385,339,323,1952,1933,0
FPV,15,385,339,323,1950,1931,0
FPV,16,385,340,324,1951,1933,0
FPV,17,384,340,326,1949,1933,0
FPV,18,385,338,325,1947,1932,0
FPV,19,381,340,357,1952,1933,0
FPV,20,382,339,333,1949,1933,0
FPV,21,384,341,325,1950,1932,0
FPV,22,384,340,326,1952,1933,0
FPV,23,382,339,357,1951,1933,0
FPV,24,383,341,357,1950,1933,0
FPV,25,383,339,347,1949,1932,0
FPV,26,383,339,325,1949,1932,0
FPV,27,386,339,323,1951,1933,0
FPV,28,383,339,322,1952,1933,0
FPV,29,385,338,325,1952,1934,0
FPV,30,385,339,323,1952,1933,0
FPV,31,386,340,325,1950,1933,0
FPV,32,385,339,324,1950,1933,0
FPV,33,384,340,324,1946,1934,0
FPV,34,385,340,325,1951,1933,0
FPV,35,385,338,323,1950,1933,0
FPV,36,383,339,354,1952,1934,0
FPV,37,382,339,342,1950,1930,0
FPV,38,382,341,356,1952,1933,0
FPV,39,383,340,357,1951,1933,0
FPV,40,382,341,357,1951,1932,0
FPV,41,383,341,359,1950,1932,0
FPV,42,385,342,325,1951,1933,0
FPV,43,384,341,360,1953,1933,0
FPV,44,385,340,323,1951,1932,0
FPV,45,384,340,325,1947,1931,0
FPV,46,385,341,325,1947,1932,0
FPV,47,382,340,356,1952,1933,0
FPV,48,383,341,357,1952,1932,0
FPV,49,382,339,354,1953,1933,0
FPV,50,383,339,335,1949,1931,0
FPV,51,385,339,322,1952,1933,0
FPV,52,385,340,324,1951,1932,0
FPV,53,383,341,359,1951,1933,0
FPV,54,382,340,358,1950,1932,0
FPV,55,385,339,323,1951,1933,0
FPV,56,386,342,325,1951,1933,0
FPV,57,382,340,359,1951,1933,0
FPV,58,382,337,356,1952,1934,0
FPV,59,382,339,325,1950,1933,0
FPV,60,382,339,354,1954,1933,0
FPV,61,385,339,321,1951,1932,0
FPV,62,382,336,355,1951,1933,0
FPV,63,383,339,344,1950,1932,0
FPV,64,385,340,322,1951,1934,0
FPV,65,385,339,325,1951,1932,0
FPV,66,386,339,323,1951,1933,0
FPV,67,384,340,325,1949,1931,0
FPV,68,386,340,324,1951,1933,0
FPV,69,383,340,359,1951,1932,0
FPV,70,384,340,356,1951,1933,0
FPV,71,383,339,355,1950,1933,0
FPV,72,382,339,333,1950,1934,0
FPV,73,383,339,347,1950,1934,0
FPV,74,383,340,358,1950,1932,0
FPV,75,383,340,358,1950,1933,0
FPV,76,384,339,331,1952,1931,0
FPV,77,381,340,356,1952,1932,0
FPV,78,383,340,355,1951,1933,0
FPV,79,385,338,323,1951,1933,0
FPV,80,385,339,324,1951,1933,0
FPV,81,384,341,352,1953,1934,0
FPV,82,382,341,357,1951,1933,0
FPV,83,385,339,322,1952,1933,0
FPV,84,384,341,326,1949,1932,0
FPV,85,386,338,322,1950,1932,0
FPV,86,385,341,352,1954,1933,0
FPV,87,383,339,322,1945,1932,0
FPV,88,384,340,347,1953,1933,0
FPV,89,382,339,324,1949,1932,0
FPV,90,386,341,325,1950,1933,0
FPV,91,383,339,320,1951,1932,0
FPV,92,382,339,357,1952,1933,0
FPV,93,383,341,357,1950,1931,0
FPV,94,385,341,324,1950,1933,0
FPV,95,382,341,356,1951,1932,0
FPV,96,382,340,337,1950,1932,0
FPV,97,384,340,324,1951,1932,0
FPV,98,382,340,357,1951,1932,0
FPV,99,384,338,324,1950,1933,0
FPV,100,382,340,356,1951,1933,0
FPV,101,387,339,321,1951,1932,0
FPV,102,384,342,324,1951,1933,0
FPV,103,382,340,356,1951,1932,0
FPV,104,382,338,344,1949,1933,0
FPV,105,385,341,325,1947,1933,0
FPV,106,382,341,357,1950,1932,0
FPV,107,381,338,346,1949,1932,0
FPV,108,383,338,339,1949,1932,0
FPV,109,386,338,320,1950,1933,0
FPV,110,386,339,324,1950,1932,0
FPV,111,384,341,358,1954,1934,0
FPV,112,384,340,360,1953,1933,0
FPV,113,382,338,355,1952,1933,0
FPV,114,382,341,359,1951,1933,0
FPV,115,381,341,358,1951,1932,0
FPV,116,382,341,357,1950,1932,0
FPV,117,383,338,356,1950,1931,0
FPV,118,382,339,355,1951,1933,0
FPV,119,382,339,348,1949,1933,0
FPV,120,383,339,333,1950,1934,0
FPV,121,386,339,323,1950,1932,0
FPV,122,386,339,323,1951,1933,0
FPV,123,385,341,324,1948,1932,0
FPV,124,385,342,325,1951,1932,0
FPV,125,383,341,357,1951,1933,0
FPV,126,382,339,355,1950,1932,0
FPV,127,385,341,324,1951,1933,0
FPV,128,384,341,325,1949,1932,0
FPV,129,382,338,356,1951,1934,0
FPV,130,383,339,337,1949,1933,0
FPV,131,385,340,324,1951,1932,0
FPV,132,385,340,359,1955,1933,0
FPV,133,384,339,322,1951,1932,0
FPV,134,386,341,326,1950,1934,0
FPV,135,383,339,347,1952,1932,0
FPV,136,384,339,323,1951,1933,0
FPV,137,384,340,355,1953,1934,0
FPV,138,383,340,358,1949,1932,0
FPV,139,382,340,356,1951,1932,0
FPV,140,382,338,355,1955,1933,0
FPV,141,385,338,323,1951,1932,0
FPV,142,383,340,322,1949,1933,0
FPV,143,382,339,321,1952,1933,0
FPV,144,383,339,334,1950,1934,0
FPV,145,384,339,321,1952,1933,0
FPV,146,382,339,336,1949,1932,0
FPV,147,385,338,322,1951,1932,0
FPV,148,383,339,321,1951,1933,0
FPV,149,384,340,324,1948,1932,0
FPV,150,384,341,325,1949,1932,0
FPV,151,384,340,358,1954,1933,0
FPV,152,382,340,356,1951,1932,0
FPV,153,382,338,319,1949,1933,0
FPV,154,383,339,355,1951,1933,0
FPV,155,383,339,333,1949,1933,0
FPV,156,382,338,354,1951,1932,0
FPV,157,382,339,354,1953,1935,0
FPV,158,382,340,357,1951,1932,0
FPV,159,382,339,354,1952,1932,0
FPV,160,385,339,320,1951,1932,0
FPV,161,385,340,325,1950,1933,0
FPV,162,384,340,325,1951,1934,0
FPV,163,381,339,356,1950,1932,0
FPV,164,384,340,325,1952,1932,0
FPV,165,382,340,320,1950,1933,0
FPV,166,382,339,321,1950,1933,0
FPV,167,384,340,325,1952,1934,0
FPV,168,380,340,359,1952,1933,0
FPV,169,383,339,337,1950,1934,0
FPV,170,384,337,321,1951,1932,0
FPV,171,384,341,326,1949,1932,0
FPV,172,383,340,357,1950,1932,0
FPV,173,382,339,321,1948,1932,0
FPV,174,385,339,322,1951,1933,0
FPV,175,382,340,356,1951,1931,0
FPV,176,382,339,355,1951,1933,0
FPV,177,383,338,355,1950,1932,0
FPV,178,382,338,356,1951,1933,0
FPV,179,382,341,357,1951,1933,0
FPV,180,384,340,323,1950,1933,0
FPV,181,384,338,321,1951,1933,0
FPV,182,382,340,358,1949,1932,0
FPV,183,384,338,324,1950,1931,0
FPV,184,382,339,355,1951,1932,0
FPV,185,384,340,323,1951,1932,0
FPV,186,382,340,358,1950,1932,0
FPV,187,383,339,320,1951,1933,0
FPV,188,385,339,359,1951,1933,0
FPV,189,386,339,324,1951,1933,0
FPV,190,381,339,354,1952,1934,0
FPV,191,382,338,355,1951,1933,0
FPV,192,385,339,322,1950,1933,0
FPV,193,381,339,354,1952,1933,0
FPV,194,382,340,357,1950,1932,0
FPV,195,382,338,354,1950,1933,0
FPV,196,382,338,354,1954,1933,0
FPV,197,385,341,324,1950,1932,0
FPV,198,384,340,346,1952,1932,0
FPV,199,382,339,355,1954,1933,0
FPV,200,385,339,321,1952,1933,0
FPV,201,382,340,359,1950,1933,0
FPV,202,381,339,353,1952,1932,0
FPV,203,384,340,358,1954,1934,0
FPV,204,382,338,355,1951,1933,0
FPV,205,385,338,321,1950,1931,0
FPV,206,385,342,323,1951,1932,0
FPV,207,385,340,326,1951,1934,0
FPV,208,385,341,324,1951,1933,0
FPV,209,384,340,324,1952,1932,0
FPV,210,384,340,325,1950,1931,0
FPV,211,384,341,359,1952,1933,0
FPV,212,384,340,356,1953,1933,0
FPV,213,381,338,356,1952,1933,0
FPV,214,382,338,355,1950,1932,0
FPV,215,382,339,320,1950,1932,0
FPV,216,383,339,320,1950,1932,0
FPV,217,384,339,323,1950,1932,0
FPV,218,384,341,326,1950,1933,0
FPV,219,384,340,358,1953,1932,0
FPV,220,384,341,359,1952,1933,0
FPV,221,382,340,357,1951,1932,0
FPV,222,382,338,356,1951,1933,0
FPV,223,383,339,321,1951,1932,0
FPV,224,383,339,336,1950,1932,0
FPV,225,381,339,321,1950,1931,0
FPV,226,386,339,321,1950,1933,0
FPV,227,385,341,325,1946,1932,0
FPV,228,385,341,359,1954,1933,0
FPV,229,383,339,354,1952,1933,0
FPV,230,384,339,322,1951,1931,0
FPV,231,384,341,345,1953,1934,0
FPV,232,384,341,358,1953,1933,0
FPV,233,383,338,355,1951,1933,0
FPV,234,384,339,320,1950,1932,0
FPV,235,384,341,353,1953,1934,0
FPV,236,383,339,328,1949,1932,0
FPV,237,384,340,345,1951,1932,0
FPV,238,381,339,355,1952,1932,0
FPV,239,385,338,322,1951,1933,0
FPV,240,385,341,324,1951,1933,0
FPV,241,382,341,359,1951,1933,0
FPV,242,382,340,357,1951,1932,0
FPV,243,385,339,323,1952,1933,0
FPV,244,384,341,326,1949,1932,0
FPV,245,382,339,355,1951,1933,0
FPV,246,385,339,322,1951,1933,0
FPV,247,384,340,325,1951,1933,0
FPV,248,383,340,358,1950,1932,0
FPV,249,382,339,354,1955,1933,0
FPV,250,387,340,324,1951,1933,0
FPV,251,383,340,357,1950,1933,0
FPV,252,383,339,324,1950,1933,0
FPV,253,385,341,335,1951,1934,0
FPV,254,382,339,355,1952,1933,0
FPV,255,385,342,324,1951,1933,0
msh >
msh >
foc_status
FOC state=uninitialized observer=rust-smo-pll reliable=0 closed=0 target=0rpm estimate=0rpm.
FOC Iref d/q=0/0mA I d/q=0/0mA V d/q=0/0mV.
FOC observer bemf a/b=0/0mV pllerr=0mrad speed mean/var=0/0 gate=0x00 streak=0 wait/loss=0/0ms vlim=0.
FOC flags=0x0004231f steps=0 errors=0 ISRmax=0/12500 cycles misses=0 peak=0 (~0mA).
FOC timing independent peaks pre/control/post=0/0/0 cycles; do not sum.
FOC rates PWM/control=12000/12000Hz ratio=1 delay=1 PWM ticks ADC trigger=1.
FOC sync interval last/min/avg/max=0/0/0/0 cycles (0 samples); monitor ISR=0/0/0 cycles.
FOC WCET step=0 total=0 pre/control/post=0/0/0 trace=0/0 samples=0 invalid=0.
FTIMING,1,0,0,0,0,0,0,0,0,0,0,0,0,12500,0,0,0,271135
FOC last status=0 rust_fault=0x00000000 duty=0/0/0 per-mille.
FOC boot-profile status=0 rev=1 board=0x43116001 motor=0x28041007 approvals=0x00 runtime/record CRC=0x8c7a8df4/0xd9f996c3.
FOC ADC U/V/W=1951/1933/1954 offsets=1952/1933/1953 Vbus=1 (~13mV) Pot=2048.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
