foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start off
FOC phase capture armed: divider=off, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=off rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=off
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,384,339,324,1951,1933,0
FPV,1,384,340,359,1952,1934,0
FPV,2,382,338,355,1952,1934,0
FPV,3,384,338,323,1950,1933,0
FPV,4,382,341,357,1950,1932,0
FPV,5,383,341,356,1951,1932,0
FPV,6,382,338,353,1951,1934,0
FPV,7,384,339,323,1951,1933,0
FPV,8,384,340,326,1950,1933,0
FPV,9,383,340,356,1951,1933,0
FPV,10,385,339,323,1951,1933,0
FPV,11,383,340,357,1953,1934,0
FPV,12,381,339,355,1956,1933,0
FPV,13,382,338,321,1948,1932,0
FPV,14,384,339,322,1951,1933,0
FPV,15,386,341,323,1951,1933,0
FPV,16,383,340,351,1952,1932,0
FPV,17,384,340,358,1952,1933,0
FPV,18,381,338,355,1953,1934,0
FPV,19,381,339,355,1956,1934,0
FPV,20,383,338,334,1950,1934,0
FPV,21,384,339,323,1950,1933,0
FPV,22,381,340,357,1951,1932,0
FPV,23,382,340,356,1950,1932,0
FPV,24,383,339,323,1951,1933,0
FPV,25,384,340,325,1947,1933,0
FPV,26,381,338,336,1950,1931,0
FPV,27,385,338,323,1951,1933,0
FPV,28,383,340,357,1950,1932,0
FPV,29,382,338,355,1950,1933,0
FPV,30,384,339,322,1953,1934,0
FPV,31,384,339,322,1952,1932,0
FPV,32,384,340,359,1952,1933,0
FPV,33,382,340,354,1951,1932,0
FPV,34,384,340,325,1950,1933,0
FPV,35,383,341,358,1952,1932,0
FPV,36,381,338,354,1953,1933,0
FPV,37,384,338,323,1950,1933,0
FPV,38,384,340,357,1951,1933,0
FPV,39,383,339,328,1950,1933,0
FPV,40,384,341,354,1953,1933,0
FPV,41,381,339,355,1951,1933,0
FPV,42,385,339,324,1950,1933,0
FPV,43,383,339,359,1951,1933,0
FPV,44,384,338,325,1951,1932,0
FPV,45,381,339,356,1951,1933,0
FPV,46,382,340,358,1952,1933,0
FPV,47,382,338,354,1952,1933,0
FPV,48,384,340,324,1951,1932,0
FPV,49,384,339,358,1952,1933,0
FPV,50,382,339,322,1948,1931,0
FPV,51,384,338,324,1951,1933,0
FPV,52,382,341,357,1950,1932,0
FPV,53,380,339,356,1952,1932,0
FPV,54,382,338,320,1949,1932,0
FPV,55,384,341,323,1950,1932,0
FPV,56,381,340,357,1950,1932,0
FPV,57,382,339,355,1955,1932,0
FPV,58,384,340,324,1951,1932,0
FPV,59,383,340,357,1950,1933,0
FPV,60,385,340,323,1950,1933,0
FPV,61,382,338,354,1953,1934,0
FPV,62,385,341,324,1947,1933,0
FPV,63,381,340,356,1951,1932,0
FPV,64,384,339,325,1951,1932,0
FPV,65,381,340,356,1950,1931,0
FPV,66,384,338,323,1952,1933,0
FPV,67,384,341,325,1948,1932,0
FPV,68,382,338,355,1950,1933,0
FPV,69,385,339,322,1951,1933,0
FPV,70,382,340,358,1951,1933,0
FPV,71,381,339,356,1954,1932,0
FPV,72,384,341,324,1946,1933,0
FPV,73,382,337,356,1950,1931,0
FPV,74,385,340,325,1951,1933,0
FPV,75,381,340,356,1950,1933,0
FPV,76,384,338,322,1952,1932,0
FPV,77,382,338,320,1947,1933,0
FPV,78,383,340,324,1948,1932,0
FPV,79,385,339,324,1951,1933,0
FPV,80,384,340,324,1946,1932,0
FPV,81,383,340,357,1951,1933,0
FPV,82,385,340,323,1951,1933,0
FPV,83,384,339,322,1952,1933,0
FPV,84,385,340,325,1949,1932,0
FPV,85,384,340,357,1953,1934,0
