divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,0,385,338,323,1952,1933,1
off,1,381,340,356,1952,1933,1
off,2,381,338,354,1952,1932,1
off,3,384,338,324,1951,1932,1
off,4,384,339,328,1951,1933,1
off,5,381,338,354,1951,1932,1
off,6,386,339,323,1951,1933,1
off,7,381,339,355,1951,1933,1
off,8,385,341,324,1951,1933,1
off,9,382,339,323,1950,1934,1
off,10,381,339,321,1948,1932,1
off,11,384,340,342,1952,1932,1
off,12,381,339,356,1952,1933,1
off,13,384,339,321,1952,1933,1
off,14,385,339,323,1950,1933,1
off,15,385,339,324,1950,1932,1
off,16,385,340,324,1951,1933,1
off,17,382,340,356,1951,1932,1
off,18,382,338,355,1951,1934,1
off,19,385,339,323,1950,1932,1
off,20,384,339,321,1952,1934,1
off,21,384,338,321,1951,1932,1
off,22,381,338,354,1951,1933,1
off,23,380,340,357,1951,1933,1
off,24,384,339,323,1951,1933,1
off,25,384,339,322,1951,1933,1
off,26,382,337,354,1955,1933,1
off,27,381,337,354,1954,1934,1
off,28,381,339,355,1951,1933,1
off,29,384,338,321,1951,1932,1
off,30,382,339,321,1952,1932,1
off,31,385,339,321,1952,1932,1
off,32,380,337,354,1955,1933,1
off,33,381,339,319,1951,1932,1
off,34,382,338,337,1949,1933,1
off,35,383,339,358,1952,1933,1
off,36,382,338,337,1949,1931,1
off,37,380,339,356,1950,1932,1
off,38,384,340,323,1951,1933,1
off,39,385,338,322,1951,1933,1
off,40,381,337,354,1953,1933,1
off,41,384,340,356,1953,1932,1
off,42,381,337,320,1951,1933,1
off,43,382,339,358,1950,1932,1
off,44,382,338,338,1950,1931,1
off,45,383,340,359,1953,1934,1
off,46,381,340,355,1951,1933,1
off,47,384,339,328,1951,1934,1
off,48,382,337,355,1951,1933,1
off,49,384,338,321,1951,1933,1
off,50,383,339,323,1953,1933,1
off,51,384,340,358,1952,1933,1
off,52,384,340,359,1954,1932,1
off,53,382,339,356,1951,1933,1
off,54,382,339,355,1951,1932,1
off,55,385,338,323,1951,1933,1
off,56,385,338,322,1951,1933,1
off,57,381,340,359,1952,1933,1
off,58,382,339,355,1951,1932,1
off,59,385,338,323,1950,1932,1
off,60,384,340,357,1952,1932,1
off,61,382,339,354,1952,1936,1
off,62,382,339,325,1949,1933,1
off,63,383,340,333,1952,1934,1
off,64,381,337,355,1950,1932,1
off,65,384,338,323,1951,1933,1
off,66,383,339,359,1951,1932,1
off,67,382,338,355,1951,1933,1
off,68,384,338,321,1951,1933,1
off,69,384,340,358,1954,1933,1
off,70,384,340,359,1952,1934,1
off,71,382,339,354,1950,1934,1
off,72,384,338,323,1951,1933,1
off,73,382,339,355,1957,1933,1
off,74,384,338,322,1951,1932,1
off,75,384,339,358,1955,1934,1
off,76,381,340,356,1950,1933,1
off,77,383,338,343,1950,1933,1
off,78,383,338,321,1951,1933,1
off,79,383,339,324,1949,1931,1
off,80,382,340,357,1950,1933,1
off,81,384,338,323,1951,1933,1
off,82,384,339,360,1952,1933,1
off,83,382,339,354,1955,1932,1
off,84,382,338,355,1951,1933,1
off,85,382,339,355,1953,1933,1
off,86,381,339,354,1953,1934,1
off,87,385,338,323,1951,1933,1
off,88,385,339,322,1950,1932,1
off,89,384,341,324,1951,1933,1
off,90,385,339,323,1951,1932,1
off,91,383,340,357,1950,1932,1
off,92,382,340,355,1952,1933,1
off,93,383,339,320,1951,1933,1
off,94,385,339,321,1951,1932,1
off,95,385,340,325,1949,1933,1
off,96,385,339,324,1950,1932,1
off,97,383,340,348,1953,1933,1
off,98,384,340,356,1954,1934,1
off,99,381,339,357,1950,1932,1
off,100,383,341,359,1952,1933,1
off,101,381,339,357,1950,1932,1
off,102,385,340,331,1952,1933,1
off,103,382,340,357,1951,1933,1
off,104,384,341,325,1949,1932,1
off,105,383,339,346,1950,1934,1
off,106,384,339,323,1951,1933,1
off,107,383,339,321,1951,1933,1
off,108,382,340,359,1951,1933,1
off,109,384,341,325,1952,1932,1
off,110,382,339,328,1949,1933,1
off,111,381,339,355,1953,1933,1
off,112,384,340,358,1953,1932,1
off,113,385,338,324,1951,1933,1
off,114,382,338,355,1953,1932,1
off,115,383,338,356,1951,1934,1
off,116,384,340,351,1952,1931,1
off,117,384,340,359,1952,1932,1
off,118,382,339,330,1948,1931,1
off,119,384,340,349,1953,1933,1
off,120,382,338,354,1955,1934,1
off,121,383,340,359,1950,1934,1
off,122,383,339,320,1950,1931,1
off,123,382,340,356,1950,1932,1
off,124,385,340,324,1949,1933,1
off,125,385,339,321,1951,1934,1
off,126,383,340,359,1951,1933,1
off,127,383,339,325,1948,1933,1
off,128,383,339,321,1952,1933,1
off,129,382,340,359,1951,1933,1
off,130,382,339,321,1950,1932,1
off,131,381,340,358,1951,1933,1
off,132,386,339,322,1950,1933,1
off,133,383,339,355,1954,1933,1
off,134,384,341,327,1950,1933,1
off,135,386,339,322,1951,1934,1
off,136,382,339,325,1949,1934,1
off,137,386,339,323,1951,1933,1
off,138,384,338,323,1950,1932,1
off,139,383,340,359,1951,1934,1
off,140,381,339,355,1951,1932,1
off,141,385,338,321,1950,1933,1
off,142,385,338,323,1950,1933,1
off,143,384,341,325,1948,1931,1
off,144,385,341,325,1947,1932,1
off,145,385,340,324,1950,1932,1
off,146,384,339,321,1952,1934,1
off,147,385,342,324,1951,1933,1
off,148,384,339,324,1951,1932,1
off,149,384,340,359,1951,1933,1
off,150,385,340,324,1951,1932,1
off,151,382,340,359,1951,1932,1
off,152,384,340,324,1948,1931,1
off,153,384,340,324,1951,1933,1
off,154,386,339,322,1950,1933,1
off,155,384,340,356,1952,1931,1
off,156,386,340,325,1949,1931,1
off,157,384,340,326,1952,1933,1
off,158,384,340,324,1951,1932,1
off,159,385,340,325,1949,1931,1
off,160,384,339,358,1951,1933,1
off,161,383,339,355,1951,1932,1
off,162,382,339,320,1947,1932,1
off,163,383,340,358,1949,1933,1
off,164,383,339,322,1952,1933,1
off,165,384,339,359,1951,1933,1
off,166,381,340,359,1952,1934,1
off,167,382,339,355,1952,1935,1
off,168,382,339,320,1949,1932,1
off,169,384,341,350,1954,1933,1
off,170,381,339,356,1951,1931,1
off,171,384,339,322,1951,1933,1
off,172,382,339,320,1949,1932,1
off,173,381,337,356,1952,1933,1
off,174,385,340,344,1951,1932,1
off,175,381,337,355,1951,1932,1
off,176,383,341,357,1950,1932,1
off,177,382,340,356,1951,1933,1
off,178,382,340,358,1950,1932,1
off,179,385,341,325,1951,1934,1
off,180,382,339,356,1951,1932,1
off,181,384,341,352,1952,1932,1
off,182,384,338,320,1950,1933,1
off,183,382,340,357,1950,1933,1
off,184,382,339,320,1950,1933,1
off,185,382,340,358,1950,1932,1
off,186,382,339,356,1951,1933,1
off,187,384,339,323,1951,1933,1
off,188,382,340,357,1950,1933,1
off,189,385,339,323,1951,1933,1
off,190,382,339,329,1949,1933,1
off,191,383,339,355,1951,1933,1
off,192,384,340,358,1952,1933,1
off,193,384,340,325,1949,1932,1
off,194,381,339,354,1952,1934,1
off,195,381,338,354,1953,1932,1
off,196,382,339,354,1951,1934,1
off,197,384,339,322,1951,1933,1
off,198,385,339,323,1950,1933,1
off,199,384,340,354,1952,1932,1
off,200,384,339,359,1951,1932,1
off,201,383,338,355,1951,1933,1
off,202,381,338,356,1950,1933,1
off,203,385,339,323,1950,1933,1
off,204,384,340,349,1951,1932,1
off,205,382,338,355,1951,1932,1
off,206,382,339,320,1950,1932,1
off,207,383,340,352,1952,1932,1
off,208,381,339,356,1952,1933,1
off,209,385,338,323,1951,1933,1
off,210,384,339,346,1953,1933,1
off,211,382,339,320,1950,1931,1
off,212,384,340,324,1951,1932,1
off,213,383,341,358,1950,1932,1
off,214,383,340,358,1952,1932,1
off,215,382,340,356,1951,1932,1
off,216,382,337,354,1953,1933,1
off,217,384,338,321,1951,1934,1
off,218,386,339,321,1952,1933,1
off,219,384,340,323,1951,1932,1
off,220,384,340,326,1948,1932,1
off,221,382,339,321,1951,1931,1
off,222,384,340,323,1951,1933,1
off,223,383,338,354,1954,1932,1
off,224,383,340,344,1952,1933,1
off,225,383,340,350,1952,1933,1
off,226,384,339,320,1952,1932,1
off,227,381,338,329,1949,1933,1
off,228,382,340,357,1950,1933,1
off,229,382,340,355,1951,1932,1
off,230,381,340,357,1952,1933,1
off,231,382,339,352,1952,1933,1
off,232,382,340,356,1951,1933,1
off,233,382,340,356,1951,1931,1
off,234,382,340,357,1951,1932,1
off,235,383,340,321,1950,1932,1
off,236,381,338,319,1949,1931,1
off,237,384,341,324,1947,1932,1
off,238,385,339,324,1950,1933,1
off,239,383,340,357,1950,1932,1
off,240,381,340,357,1952,1933,1
off,241,385,338,321,1951,1933,1
off,242,384,341,324,1952,1932,1
off,243,384,341,351,1952,1932,1
off,244,382,340,359,1951,1933,1
off,245,382,339,354,1953,1933,1
off,246,381,338,342,1952,1933,1
off,247,384,338,320,1951,1932,1
off,248,382,340,359,1950,1932,1
off,249,385,339,323,1950,1932,1
off,250,383,336,355,1951,1932,1
off,251,384,340,324,1951,1933,1
off,252,383,340,355,1955,1932,1
off,253,382,340,357,1951,1933,1
off,254,386,338,322,1951,1933,1
off,255,383,339,326,1948,1932,1
