divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
on,0,78,43,60,1950,1932,0
on,1,77,35,16,1952,1932,0
on,2,73,36,53,1951,1933,0
on,3,73,34,50,1951,1932,0
on,4,73,34,28,1949,1933,0
on,5,76,35,16,1950,1933,0
on,6,76,36,50,1953,1933,0
on,7,74,34,48,1951,1933,0
on,8,76,34,18,1950,1933,0
on,9,72,36,55,1952,1933,0
on,10,78,35,16,1951,1932,0
on,11,73,35,55,1951,1933,0
on,12,77,35,15,1952,1933,0
on,13,75,37,23,1951,1934,0
on,14,74,35,48,1955,1932,0
on,15,76,35,17,1950,1933,0
on,16,73,35,53,1951,1932,0
on,17,75,34,15,1952,1933,0
on,18,74,33,48,1951,1933,0
on,19,77,34,17,1951,1933,0
on,20,73,33,49,1952,1933,0
on,21,77,35,18,1951,1933,0
on,22,76,36,55,1952,1933,0
on,23,73,35,52,1952,1933,0
on,24,77,35,17,1951,1934,0
on,25,75,36,53,1953,1933,0
on,26,74,34,47,1953,1932,0
on,27,74,34,13,1949,1931,0
on,28,75,35,21,1949,1931,0
on,29,73,36,54,1950,1933,0
on,30,74,34,13,1949,1932,0
on,31,76,36,20,1952,1932,0
on,32,74,36,54,1950,1933,0
on,33,75,36,53,1953,1933,0
on,34,72,35,50,1952,1932,0
on,35,73,32,49,1952,1933,0
on,36,76,34,17,1952,1934,0
on,37,75,34,18,1951,1932,0
on,38,73,36,54,1951,1933,0
on,39,73,35,51,1951,1932,0
on,40,74,33,47,1956,1933,0
on,41,73,34,47,1953,1933,0
on,42,75,35,14,1951,1933,0
on,43,73,34,47,1952,1934,0
on,44,76,35,13,1952,1933,0
on,45,77,37,19,1950,1932,0
on,46,72,35,52,1952,1933,0
on,47,72,36,51,1951,1932,0
on,48,74,33,48,1951,1933,0
on,49,73,34,47,1952,1934,0
on,50,78,35,16,1950,1933,0
on,51,77,35,19,1951,1933,0
on,52,72,36,53,1950,1933,0
on,53,73,35,53,1951,1933,0
on,54,74,34,21,1950,1934,0
on,55,76,34,15,1952,1933,0
on,56,75,36,47,1953,1933,0
on,57,73,35,54,1950,1931,0
on,58,74,35,36,1950,1933,0
on,59,75,34,18,1950,1932,0
on,60,76,36,56,1951,1932,0
on,61,75,35,53,1953,1932,0
on,62,73,35,49,1951,1933,0
on,63,73,34,47,1952,1935,0
on,64,78,35,16,1951,1933,0
on,65,75,36,30,1953,1933,0
on,66,73,34,48,1951,1933,0
on,67,73,34,13,1951,1932,0
on,68,76,36,20,1946,1933,0
on,69,75,36,19,1951,1932,0
on,70,75,35,55,1952,1934,0
on,71,73,35,47,1951,1934,0
on,72,76,35,14,1952,1933,0
on,73,74,35,47,1953,1933,0
on,74,73,34,46,1954,1933,0
on,75,77,35,16,1951,1933,0
on,76,73,36,51,1950,1932,0
on,77,73,34,47,1954,1933,0
on,78,75,36,23,1953,1932,0
on,79,72,35,54,1950,1932,0
on,80,72,34,48,1952,1934,0
on,81,73,35,49,1951,1933,0
on,82,71,34,53,1949,1932,0
on,83,76,37,19,1951,1932,0
on,84,74,35,25,1953,1932,0
on,85,72,35,53,1951,1932,0
on,86,74,35,37,1949,1932,0
on,87,76,36,20,1951,1932,0
on,88,73,35,50,1952,1933,0
on,89,73,34,13,1950,1933,0
on,90,73,35,55,1950,1932,0
on,91,73,34,14,1948,1933,0
on,92,72,35,53,1950,1932,0
on,93,73,34,47,1952,1934,0
on,94,76,34,18,1950,1932,0
on,95,76,36,22,1950,1934,0
on,96,73,35,51,1951,1933,0
on,97,73,36,51,1952,1933,0
on,98,75,34,13,1952,1933,0
on,99,76,34,14,1951,1933,0
on,100,76,37,19,1952,1934,0
on,101,75,36,18,1950,1933,0
on,102,74,36,22,1953,1933,0
on,103,77,34,15,1951,1932,0
on,104,76,34,15,1951,1932,0
on,105,74,34,12,1951,1933,0
on,106,76,37,17,1950,1933,0
on,107,76,34,17,1951,1933,0
on,108,76,35,19,1951,1934,0
on,109,75,36,20,1949,1931,0
