foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
FOC alive flags=0x0004231f sync=421583 steps=0 errors=0 Vbus=13mV.
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start on
FOC phase capture armed: divider=on, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=on rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=on
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,78,43,60,1950,1932,0
FPV,1,77,35,16,1952,1932,0
FPV,2,73,36,53,1951,1933,0
FPV,3,73,34,50,1951,1932,0
FPV,4,73,34,28,1949,1933,0
FPV,5,76,35,16,1950,1933,0
FPV,6,76,36,50,1953,1933,0
FPV,7,74,34,48,1951,1933,0
FPV,8,76,34,18,1950,1933,0
FPV,9,72,36,55,1952,1933,0
FPV,10,78,35,16,1951,1932,0
FPV,11,73,35,55,1951,1933,0
FPV,12,77,35,15,1952,1933,0
FPV,13,75,37,23,1951,1934,0
FPV,14,74,35,48,1955,1932,0
FPV,15,76,35,17,1950,1933,0
FPV,16,73,35,53,1951,1932,0
FPV,17,75,34,15,1952,1933,0
FPV,18,74,33,48,1951,1933,0
FPV,19,77,34,17,1951,1933,0
FPV,20,73,33,49,1952,1933,0
FPV,21,77,35,18,1951,1933,0
FPV,22,76,36,55,1952,1933,0
FPV,23,73,35,52,1952,1933,0
FPV,24,77,35,17,1951,1934,0
FPV,25,75,36,53,1953,1933,0
FPV,26,74,34,47,1953,1932,0
FPV,27,74,34,13,1949,1931,0
FPV,28,75,35,21,1949,1931,0
FPV,29,73,36,54,1950,1933,0
FPV,30,74,34,13,1949,1932,0
FPV,31,76,36,20,1952,1932,0
FPV,32,74,36,54,1950,1933,0
FPV,33,75,36,53,1953,1933,0
FPV,34,72,35,50,1952,1932,0
FPV,35,73,32,49,1952,1933,0
FPV,36,76,34,17,1952,1934,0
FPV,37,75,34,18,1951,1932,0
FPV,38,73,36,54,1951,1933,0
FPV,39,73,35,51,1951,1932,0
FPV,40,74,33,47,1956,1933,0
FPV,41,73,34,47,1953,1933,0
FPV,42,75,35,14,1951,1933,0
FPV,43,73,34,47,1952,1934,0
FPV,44,76,35,13,1952,1933,0
FPV,45,77,37,19,1950,1932,0
FPV,46,72,35,52,1952,1933,0
FPV,47,72,36,51,1951,1932,0
FPV,48,74,33,48,1951,1933,0
FPV,49,73,34,47,1952,1934,0
FPV,50,78,35,16,1950,1933,0
FPV,51,77,35,19,1951,1933,0
FPV,52,72,36,53,1950,1933,0
FPV,53,73,35,53,1951,1933,0
FPV,54,74,34,21,1950,1934,0
FPV,55,76,34,15,1952,1933,0
FPV,56,75,36,47,1953,1933,0
FPV,57,73,35,54,1950,1931,0
FPV,58,74,35,36,1950,1933,0
FPV,59,75,34,18,1950,1932,0
FPV,60,76,36,56,1951,1932,0
FPV,61,75,35,53,1953,1932,0
FPV,62,73,35,49,1951,1933,0
FPV,63,73,34,47,1952,1935,0
FPV,64,78,35,16,1951,1933,0
FPV,65,75,36,30,1953,1933,0
FPV,66,73,34,48,1951,1933,0
FPV,67,73,34,13,1951,1932,0
FPV,68,76,36,20,1946,1933,0
FPV,69,75,36,19,1951,1932,0
FPV,70,75,35,55,1952,1934,0
FPV,71,73,35,47,1951,1934,0
FPV,72,76,35,14,1952,1933,0
FPV,73,74,35,47,1953,1933,0
FPV,74,73,34,46,1954,1933,0
FPV,75,77,35,16,1951,1933,0
FPV,76,73,36,51,1950,1932,0
FPV,77,73,34,47,1954,1933,0
FPV,78,75,36,23,1953,1932,0
FPV,79,72,35,54,1950,1932,0
FPV,80,72,34,48,1952,1934,0
FPV,81,73,35,49,1951,1933,0
FPV,82,71,34,53,1949,1932,0
FPV,83,76,37,19,1951,1932,0
FPV,84,74,35,25,1953,1932,0
FPV,85,72,35,53,1951,1932,0
FPV,86,74,35,37,1949,1932,0
FPV,87,76,36,20,1951,1932,0
FPV,88,73,35,50,1952,1933,0
FPV,89,73,34,13,1950,1933,0
FPV,90,73,35,55,1950,1932,0
FPV,91,73,34,14,1948,1933,0
FPV,92,72,35,53,1950,1932,0
FPV,93,73,34,47,1952,1934,0
FPV,94,76,34,18,1950,1932,0
FPV,95,76,36,22,1950,1934,0
FPV,96,73,35,51,1951,1933,0
FPV,97,73,36,51,1952,1933,0
FPV,98,75,34,13,1952,1933,0
FPV,99,76,34,14,1951,1933,0
FPV,100,76,37,19,1952,1934,0
FPV,101,75,36,18,1950,1933,0
FPV,102,74,36,22,1953,1933,0
FPV,103,77,34,15,1951,1932,0
FPV,104,76,34,15,1951,1932,0
FPV,105,74,34,12,1951,1933,0
FPV,106,76,37,17,1950,1933,0
FPV,107,76,34,17,1951,1933,0
FPV,108,76,35,19,1951,1934,0
FPV,109,75,36,20,1949,1931,0
FPV,110,73,34,50,1951,1933,0
FPV,111,72,34,47,1952,1933,0
FPV,112,76,35,17,1950,1933,0
FPV,113,75,36,44,1953,1933,0
FPV,114,75,33,13,1952,1932,0
FPV,115,75,36,19,1947,1933,0
FPV,116,73,33,48,1951,1931,0
FPV,117,78,35,15,1953,1934,0
FPV,118,74,35,53,1950,1932,0
FPV,119,74,35,49,1951,1933,0
FPV,120,74,35,13,1951,1934,0
FPV,121,76,35,17,1950,1931,0
