foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start on
FOC phase capture armed: divider=on, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=on rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=on
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,87,52,71,1952,1933,1
FPV,1,75,35,49,1951,1934,1
FPV,2,75,35,47,1951,1932,1
FPV,3,77,36,19,1950,1933,1
FPV,4,76,37,20,1951,1933,1
FPV,5,74,36,52,1951,1932,1
FPV,6,74,35,49,1950,1933,1
FPV,7,77,36,18,1951,1932,1
FPV,8,75,36,25,1952,1932,1
FPV,9,74,34,48,1951,1932,1
FPV,10,74,35,50,1951,1933,1
FPV,11,74,36,52,1951,1933,1
FPV,12,76,37,20,1947,1932,1
FPV,13,77,35,18,1952,1934,1
FPV,14,73,35,13,1951,1932,1
FPV,15,77,36,19,1951,1932,1
FPV,16,76,35,18,1951,1933,1
FPV,17,76,35,54,1952,1933,1
FPV,18,73,35,50,1951,1931,1
FPV,19,73,33,47,1953,1932,1
FPV,20,74,34,31,1949,1932,1
FPV,21,74,34,22,1948,1932,1
FPV,22,72,35,54,1950,1932,1
FPV,23,75,36,55,1952,1932,1
FPV,24,76,35,19,1951,1933,1
FPV,25,77,35,16,1951,1933,1
FPV,26,74,34,48,1951,1933,1
FPV,27,73,35,50,1951,1932,1
FPV,28,73,36,54,1951,1932,1
FPV,29,72,35,52,1950,1932,1
FPV,30,73,36,53,1950,1933,1
FPV,31,73,36,51,1951,1932,1
FPV,32,75,36,55,1952,1934,1
FPV,33,74,36,53,1950,1933,1
FPV,34,75,36,55,1953,1932,1
FPV,35,74,36,52,1951,1933,1
FPV,36,72,35,51,1951,1932,1
FPV,37,74,34,48,1951,1933,1
FPV,38,74,34,38,1949,1932,1
FPV,39,74,35,13,1950,1931,1
FPV,40,73,34,49,1951,1933,1
FPV,41,73,34,47,1955,1932,1
FPV,42,74,34,47,1954,1934,1
FPV,43,74,34,47,1953,1934,1
FPV,44,74,36,54,1950,1932,1
FPV,45,78,35,18,1950,1934,1
FPV,46,73,33,48,1951,1933,1
FPV,47,72,35,50,1952,1932,1
FPV,48,75,35,54,1950,1932,1
FPV,49,73,36,52,1950,1932,1
FPV,50,76,36,53,1953,1933,1
FPV,51,72,35,52,1950,1932,1
FPV,52,75,36,28,1952,1932,1
FPV,53,76,35,18,1951,1933,1
FPV,54,74,35,47,1951,1932,1
FPV,55,73,33,49,1952,1933,1
FPV,56,76,36,19,1951,1931,1
FPV,57,77,35,16,1951,1933,1
FPV,58,73,33,47,1955,1933,1
FPV,59,73,34,50,1951,1932,1
FPV,60,75,35,44,1952,1933,1
FPV,61,75,35,50,1954,1933,1
FPV,62,75,35,55,1952,1933,1
FPV,63,72,36,54,1952,1933,1
FPV,64,77,36,19,1951,1932,1
FPV,65,77,35,14,1952,1933,1
FPV,66,74,35,47,1954,1934,1
FPV,67,73,35,50,1952,1933,1
FPV,68,75,35,49,1954,1932,1
FPV,69,75,36,43,1952,1933,1
FPV,70,76,35,17,1949,1932,1
FPV,71,75,34,14,1952,1933,1
FPV,72,73,35,50,1952,1933,1
FPV,73,73,35,51,1950,1932,1
FPV,74,76,36,54,1952,1932,1
FPV,75,75,36,51,1954,1933,1
FPV,76,76,36,19,1951,1933,1
FPV,77,77,35,16,1951,1933,1
FPV,78,72,34,48,1952,1933,1
FPV,79,74,33,47,1954,1933,1
FPV,80,73,34,48,1954,1934,1
FPV,81,73,34,13,1949,1932,1
FPV,82,73,36,52,1952,1933,1
FPV,83,75,36,21,1952,1935,1
FPV,84,75,35,48,1951,1933,1
FPV,85,72,35,53,1950,1933,1
FPV,86,76,35,19,1951,1933,1
FPV,87,77,35,16,1952,1933,1
FPV,88,72,34,21,1949,1932,1
FPV,89,73,34,48,1953,1935,1
FPV,90,73,34,48,1951,1932,1
FPV,91,72,34,48,1953,1932,1
FPV,92,74,36,54,1950,1933,1
FPV,93,75,36,21,1949,1931,1
FPV,94,76,34,17,1951,1934,1
FPV,95,76,35,16,1951,1932,1
FPV,96,74,35,50,1951,1933,1
FPV,97,72,35,50,1952,1933,1
FPV,98,75,36,20,1949,1931,1
FPV,99,76,36,19,1951,1932,1
FPV,100,73,33,13,1948,1932,1
FPV,101,73,33,48,1955,1933,1
FPV,102,75,35,54,1951,1932,1
FPV,103,75,35,19,1950,1932,1
FPV,104,73,35,53,1950,1932,1
FPV,105,75,34,16,1950,1932,1
FPV,106,74,33,49,1951,1933,1
FPV,107,76,35,17,1951,1932,1
FPV,108,74,34,49,1952,1932,1
FPV,109,74,33,47,1951,1934,1
FPV,110,72,33,47,1954,1933,1
FPV,111,77,35,18,1951,1933,1
FPV,112,75,36,20,1946,1932,1
FPV,113,73,36,54,1950,1934,1
FPV,114,75,35,24,1952,1933,1
FPV,115,75,35,43,1952,1934,1
FPV,116,76,35,19,1951,1933,1
FPV,117,76,37,20,1951,1933,1
FPV,118,77,35,18,1950,1932,1
FPV,119,76,36,50,1955,1934,1
FPV,120,76,38,19,1950,1933,1
FPV,121,76,35,18,1951,1932,1
FPV,122,72,34,13,1950,1932,1
