divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
on,0,86,50,66,1951,1932,0
on,1,74,35,48,1953,1932,0
on,2,75,36,20,1949,1933,0
on,3,74,35,49,1950,1933,0
on,4,73,36,53,1950,1932,0
on,5,78,35,17,1951,1933,0
on,6,73,35,49,1951,1933,0
on,7,76,35,16,1951,1933,0
on,8,73,34,48,1952,1932,0
on,9,76,34,14,1951,1933,0
on,10,74,36,54,1950,1933,0
on,11,73,34,49,1952,1933,0
on,12,76,35,15,1952,1933,0
on,13,76,36,18,1951,1932,0
on,14,73,35,54,1951,1932,0
on,15,73,34,48,1951,1932,0
on,16,76,35,15,1952,1933,0
on,17,77,37,19,1951,1934,0
on,18,72,35,51,1951,1932,0
on,19,73,32,49,1952,1933,0
on,20,75,34,13,1952,1933,0
on,21,77,35,16,1951,1933,0
on,22,75,35,20,1949,1932,0
on,23,72,35,52,1950,1932,0
on,24,75,36,14,1952,1933,0
on,25,76,34,17,1950,1933,0
on,26,73,35,53,1951,1933,0
on,27,73,34,46,1954,1934,0
on,28,76,34,19,1951,1932,0
on,29,75,36,42,1952,1933,0
on,30,73,35,29,1949,1932,0
on,31,76,35,17,1952,1933,0
on,32,73,34,18,1950,1933,0
on,33,76,36,20,1951,1934,0
on,34,73,34,48,1954,1933,0
on,35,75,37,20,1948,1933,0
on,36,74,34,19,1950,1933,0
on,37,77,34,17,1950,1932,0
on,38,73,35,54,1950,1932,0
on,39,74,35,12,1950,1933,0
on,40,73,32,49,1951,1932,0
on,41,74,34,16,1950,1933,0
on,42,74,34,48,1951,1933,0
on,43,73,34,48,1952,1934,0
on,44,76,35,19,1951,1933,0
on,45,76,36,20,1951,1934,0
on,46,73,35,55,1950,1933,0
on,47,73,34,48,1951,1933,0
on,48,76,36,19,1951,1933,0
on,49,73,35,53,1950,1933,0
on,50,73,34,45,1949,1933,0
on,51,72,36,51,1952,1933,0
on,52,75,36,20,1949,1933,0
on,53,76,37,19,1951,1933,0
on,54,73,35,54,1951,1933,0
on,55,73,35,53,1951,1933,0
on,56,73,34,49,1952,1933,0
on,57,73,34,49,1950,1933,0
on,58,76,35,18,1951,1933,0
on,59,76,35,55,1951,1933,0
on,60,73,34,47,1953,1934,0
on,61,79,34,13,1951,1933,0
on,62,75,36,19,1945,1932,0
on,63,76,36,20,1949,1933,0
on,64,73,35,51,1950,1932,0
on,65,74,34,50,1951,1933,0
on,66,76,36,20,1952,1933,0
on,67,72,34,50,1951,1933,0
on,68,78,35,16,1951,1933,0
on,69,76,36,19,1951,1933,0
on,70,73,33,48,1950,1932,0
on,71,75,33,12,1950,1932,0
on,72,76,36,19,1951,1933,0
on,73,76,36,55,1952,1933,0
on,74,74,34,47,1951,1932,0
on,75,74,34,13,1951,1932,0
on,76,76,35,20,1949,1933,0
on,77,75,36,55,1952,1933,0
on,78,74,35,49,1951,1933,0
on,79,72,35,52,1951,1933,0
on,80,73,34,47,1950,1932,0
on,81,77,35,17,1950,1932,0
on,82,75,36,41,1952,1932,0
on,83,75,36,54,1951,1933,0
on,84,74,36,50,1951,1932,0
on,85,73,36,52,1951,1932,0
on,86,74,35,13,1950,1933,0
on,87,76,35,15,1953,1933,0
on,88,75,36,22,1954,1933,0
on,89,73,34,50,1952,1932,0
on,90,77,35,13,1951,1933,0
on,91,76,34,17,1950,1933,0
on,92,75,37,20,1948,1933,0
on,93,76,35,20,1948,1934,0
on,94,73,36,55,1952,1933,0
on,95,74,37,53,1951,1933,0
on,96,74,34,47,1950,1931,0
on,97,75,37,42,1953,1935,0
on,98,76,36,21,1949,1933,0
on,99,76,34,12,1951,1933,0
on,100,77,34,15,1951,1933,0
on,101,73,35,49,1951,1932,0
on,102,73,36,49,1951,1932,0
on,103,75,37,21,1952,1934,0
on,104,76,35,21,1951,1931,0
on,105,76,36,56,1952,1934,0
on,106,73,35,49,1952,1933,0
on,107,73,34,49,1952,1933,0
on,108,76,35,15,1953,1933,0
on,109,76,36,15,1952,1932,0
on,110,75,35,43,1952,1933,0
on,111,72,35,52,1949,1933,0
on,112,74,34,14,1948,1934,0
on,113,76,36,20,1950,1931,0
on,114,72,33,47,1954,1933,0
on,115,74,34,48,1953,1933,0
on,116,77,34,14,1952,1933,0
on,117,78,36,16,1952,1933,0
on,118,72,36,52,1951,1932,0
on,119,78,35,17,1951,1932,0
on,120,72,36,53,1951,1933,0
on,121,74,35,40,1950,1933,0
on,122,76,36,20,1949,1932,0
on,123,74,33,50,1950,1933,0
on,124,75,36,20,1948,1932,0
on,125,73,36,53,1951,1933,0
on,126,75,35,12,1951,1933,0
on,127,76,36,47,1953,1931,0
on,128,77,35,14,1951,1933,0
on,129,76,36,55,1952,1933,0
on,130,74,35,39,1950,1934,0
on,131,76,35,18,1951,1932,0
on,132,74,36,52,1951,1932,0
on,133,74,35,44,1949,1933,0
on,134,76,34,19,1949,1933,0
on,135,77,36,19,1950,1932,0
on,136,73,35,52,1952,1933,0
on,137,77,35,15,1952,1933,0
on,138,76,36,46,1952,1932,0
on,139,76,37,54,1952,1934,0
on,140,74,35,48,1952,1934,0
on,141,74,35,35,1949,1932,0
on,142,77,34,17,1951,1933,0
on,143,76,37,21,1947,1931,0
on,144,73,36,51,1952,1932,0
on,145,75,35,46,1950,1931,0
on,146,76,37,22,1949,1931,0
on,147,74,36,51,1952,1933,0
on,148,77,35,17,1951,1933,0
on,149,75,36,22,1953,1932,0
on,150,74,34,48,1952,1933,0
on,151,76,35,14,1951,1933,0
on,152,77,36,18,1951,1933,0
on,153,76,37,20,1951,1934,0
on,154,73,35,52,1951,1933,0
on,155,73,36,50,1951,1933,0
on,156,77,35,14,1951,1933,0
on,157,77,35,18,1951,1933,0
on,158,72,35,54,1950,1932,0
on,159,75,35,29,1949,1933,0
on,160,76,36,55,1951,1933,0
on,161,73,34,48,1951,1934,0
on,162,75,36,55,1950,1932,0
on,163,73,34,49,1950,1932,0
on,164,77,35,15,1951,1933,0
on,165,77,35,18,1950,1932,0
on,166,74,36,55,1951,1932,0
