divider_mode,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
off,0,381,337,320,1950,1934,0
off,1,377,334,349,1953,1933,0
off,2,377,335,352,1950,1932,0
off,3,378,335,317,1949,1933,0
off,4,378,335,318,1950,1933,0
off,5,379,333,315,1951,1933,0
off,6,375,333,329,1950,1934,0
off,7,379,333,317,1950,1932,0
off,8,376,332,349,1951,1932,0
off,9,376,333,350,1951,1933,0
off,10,375,335,350,1950,1932,0
off,11,375,334,350,1951,1932,0
off,12,378,334,333,1950,1934,0
off,13,376,331,331,1949,1932,0
off,14,378,331,314,1951,1933,0
off,15,373,330,346,1953,1934,0
off,16,375,331,328,1950,1933,0
off,17,374,331,327,1951,1932,0
off,18,373,329,312,1952,1932,0
off,19,373,330,345,1951,1934,0
off,20,371,327,311,1951,1932,0
off,21,368,323,306,1950,1932,0
off,22,367,323,341,1951,1933,0
off,23,366,321,304,1951,1932,0
off,24,365,320,324,1953,1932,0
off,25,361,318,333,1951,1934,0
off,26,361,317,298,1948,1931,0
off,27,361,319,336,1950,1933,0
off,28,361,319,333,1953,1934,0
off,29,362,318,328,1952,1932,0
off,30,357,314,330,1950,1932,0
off,31,358,314,297,1951,1932,0
off,32,353,312,326,1950,1932,0
off,33,357,313,321,1951,1932,0
off,34,353,309,325,1951,1933,0
off,35,354,312,326,1950,1932,0
off,36,356,312,293,1951,1932,0
off,37,354,311,325,1951,1932,0
off,38,356,310,292,1953,1933,0
off,39,353,311,328,1951,1933,0
off,40,356,309,293,1951,1933,0
off,41,355,311,294,1949,1933,0
off,42,356,314,295,1950,1932,0
off,43,358,314,298,1951,1933,0
off,44,358,315,296,1950,1932,0
off,45,354,309,292,1951,1932,0
off,46,349,308,323,1951,1933,0
off,47,351,307,287,1951,1932,0
off,48,347,303,290,1950,1933,0
off,49,349,305,285,1950,1933,0
off,50,350,310,325,1951,1933,0
off,51,356,312,326,1952,1932,0
off,52,357,311,294,1950,1931,0
off,53,356,313,296,1948,1932,0
off,54,358,315,299,1949,1932,0
off,55,359,315,297,1950,1932,0
off,56,357,313,327,1952,1934,0
off,57,356,317,332,1950,1933,0
off,58,362,317,299,1950,1933,0
off,59,359,314,311,1950,1933,0
off,60,361,319,301,1952,1933,0
off,61,361,317,299,1953,1933,0
off,62,357,316,332,1951,1933,0
off,63,359,318,334,1950,1931,0
off,64,359,318,332,1949,1932,0
off,65,363,319,336,1951,1932,0
off,66,365,320,302,1952,1933,0
off,67,361,317,330,1952,1931,0
off,68,365,322,338,1955,1933,0
off,69,363,317,299,1951,1931,0
off,70,364,322,339,1951,1932,0
off,71,367,320,304,1951,1933,0
off,72,366,321,306,1951,1932,0
off,73,362,319,335,1951,1931,0
off,74,367,321,304,1951,1933,0
off,75,368,326,343,1953,1934,0
off,76,368,326,343,1949,1933,0
off,77,369,327,341,1953,1932,0
off,78,370,326,308,1948,1933,0
off,79,372,327,311,1950,1933,0
off,80,366,325,341,1952,1933,0
off,81,373,330,314,1951,1932,0
