foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >FOC alive flags=0x0004231f sync=61205 steps=0 errors=0 Vbus=0mV.
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start off
FOC phase capture armed: divider=off, 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete capture-divider=off rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
FOC phase model source=st-ihm16m1-nominal quality=nominal-not-calibrated observer=disabled Vref=3300mV divider=10000/2200 ohm full-scale=18300mV scale=4469uV/count.
msh >
msh >
foc_phase_capture dump
FPV_META,divider=off
FPV_MODEL,source=st-ihm16m1-nominal,quality=nominal-not-calibrated,observer=disabled,vref_mv=3300,adc_max=4095,upper_ohm=10000,lower_ohm=2200,full_scale_mv=18300,uv_per_count=4469
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,381,337,320,1950,1934,0
FPV,1,377,334,349,1953,1933,0
FPV,2,377,335,352,1950,1932,0
FPV,3,378,335,317,1949,1933,0
FPV,4,378,335,318,1950,1933,0
FPV,5,379,333,315,1951,1933,0
FPV,6,375,333,329,1950,1934,0
FPV,7,379,333,317,1950,1932,0
FPV,8,376,332,349,1951,1932,0
FPV,9,376,333,350,1951,1933,0
FPV,10,375,335,350,1950,1932,0
FPV,11,375,334,350,1951,1932,0
FPV,12,378,334,333,1950,1934,0
FPV,13,376,331,331,1949,1932,0
FPV,14,378,331,314,1951,1933,0
FPV,15,373,330,346,1953,1934,0
FPV,16,375,331,328,1950,1933,0
FPV,17,374,331,327,1951,1932,0
FPV,18,373,329,312,1952,1932,0
FPV,19,373,330,345,1951,1934,0
FPV,20,371,327,311,1951,1932,0
FPV,21,368,323,306,1950,1932,0
FPV,22,367,323,341,1951,1933,0
FPV,23,366,321,304,1951,1932,0
FPV,24,365,320,324,1953,1932,0
FPV,25,361,318,333,1951,1934,0
FPV,26,361,317,298,1948,1931,0
FPV,27,361,319,336,1950,1933,0
FPV,28,361,319,333,1953,1934,0
FPV,29,362,318,328,1952,1932,0
FPV,30,357,314,330,1950,1932,0
FPV,31,358,314,297,1951,1932,0
FPV,32,353,312,326,1950,1932,0
FPV,33,357,313,321,1951,1932,0
FPV,34,353,309,325,1951,1933,0
FPV,35,354,312,326,1950,1932,0
FPV,36,356,312,293,1951,1932,0
FPV,37,354,311,325,1951,1932,0
FPV,38,356,310,292,1953,1933,0
FPV,39,353,311,328,1951,1933,0
FPV,40,356,309,293,1951,1933,0
FPV,41,355,311,294,1949,1933,0
FPV,42,356,314,295,1950,1932,0
FPV,43,358,314,298,1951,1933,0
FPV,44,358,315,296,1950,1932,0
FPV,45,354,309,292,1951,1932,0
FPV,46,349,308,323,1951,1933,0
FPV,47,351,307,287,1951,1932,0
FPV,48,347,303,290,1950,1933,0
FPV,49,349,305,285,1950,1933,0
FPV,50,350,310,325,1951,1933,0
FPV,51,356,312,326,1952,1932,0
FPV,52,357,311,294,1950,1931,0
FPV,53,356,313,296,1948,1932,0
FPV,54,358,315,299,1949,1932,0
FPV,55,359,315,297,1950,1932,0
FPV,56,357,313,327,1952,1934,0
FPV,57,356,317,332,1950,1933,0
FPV,58,362,317,299,1950,1933,0
FPV,59,359,314,311,1950,1933,0
FPV,60,361,319,301,1952,1933,0
FPV,61,361,317,299,1953,1933,0
FPV,62,357,316,332,1951,1933,0
FPV,63,359,318,334,1950,1931,0
FPV,64,359,318,332,1949,1932,0
FPV,65,363,319,336,1951,1932,0
FPV,66,365,320,302,1952,1933,0
FPV,67,361,317,330,1952,1931,0
FPV,68,365,322,338,1955,1933,0
FPV,69,363,317,299,1951,1931,0
FPV,70,364,322,339,1951,1932,0
FPV,71,367,320,304,1951,1933,0
FPV,72,366,321,306,1951,1932,0
FPV,73,362,319,335,1951,1931,0
FPV,74,367,321,304,1951,1933,0
FPV,75,368,326,343,1953,1934,0
FPV,76,368,326,343,1949,1933,0
FPV,77,369,327,341,1953,1932,0
FPV,78,370,326,308,1948,1933,0
FPV,79,372,327,311,1950,1933,0
FPV,80,366,325,341,1952,1933,0
FPV,81,373,330,314,1951,1932,0
FPV,82,368,326,345,1951,1932,0
FPV,83,370,326,344,1951,1933,0
FPV,84,373,330,347,1951,1932,0
FPV,85,373,327,347,1951,1933,0
FPV,86,375,331,315,1951,1933,0
FPV,87,378,332,315,1951,1933,0
FPV,88,374,331,319,1949,1933,0
FPV,89,373,330,327,1949,1933,0
FPV,90,375,334,351,1951,1932,0
FPV,91,380,334,317,1951,1933,0
FPV,92,378,335,354,1952,1933,0
FPV,93,382,338,320,1951,1933,0
FPV,94,380,339,354,1951,1933,0
FPV,95,386,342,325,1951,1932,0
FPV,96,383,339,356,1951,1932,0
FPV,97,385,342,360,1953,1933,0
FPV,98,386,340,322,1951,1933,0
FPV,99,383,340,322,1950,1932,0
FPV,100,384,342,358,1952,1932,0
FPV,101,384,343,361,1951,1933,0
FPV,102,387,343,325,1950,1933,0
FPV,103,386,345,360,1952,1933,0
FPV,104,390,346,329,1950,1932,0
FPV,105,388,346,362,1951,1933,0
FPV,106,390,346,330,1950,1933,0
FPV,107,387,343,359,1950,1932,0
FPV,108,389,344,326,1952,1933,0
FPV,109,386,344,361,1951,1932,0
FPV,110,391,346,328,1951,1933,0
FPV,111,386,346,362,1951,1932,0
FPV,112,389,345,328,1949,1933,0
