sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
0,115,85,79,1950,1933,952
1,113,83,65,1947,1932,952
2,116,87,107,1954,1932,952
3,114,85,102,1951,1932,952
4,117,84,66,1952,1933,952
5,117,86,97,1952,1933,952
6,117,84,65,1951,1932,952
7,116,86,72,1952,1934,952
8,114,85,100,1955,1931,952
9,118,86,70,1950,1932,952
10,115,84,100,1954,1933,952
11,113,86,107,1950,1932,952
12,114,87,102,1951,1931,952
13,113,83,99,1950,1932,952
14,117,84,66,1951,1932,952
15,116,85,71,1950,1933,952
16,111,83,101,1952,1933,952
17,114,84,66,1949,1933,952
18,117,86,72,1951,1933,952
19,114,84,105,1952,1933,952
20,114,85,100,1953,1933,952
21,115,87,72,1948,1932,952
22,113,83,99,1951,1932,952
23,117,85,65,1950,1932,952
24,116,87,107,1954,1931,952
25,115,84,105,1951,1933,952
26,114,85,77,1949,1933,952
27,118,85,67,1951,1932,952
28,114,85,104,1949,1933,952
29,114,84,99,1955,1933,952
30,118,84,69,1951,1933,952
31,114,82,62,1951,1931,952
32,117,87,73,1947,1932,952
33,113,84,105,1950,1932,952
34,111,83,99,1951,1934,952
35,113,83,100,1951,1932,952
36,113,83,100,1950,1931,952
37,113,85,101,1951,1933,952
38,114,83,100,1951,1931,952
39,113,84,100,1951,1933,952
40,113,83,100,1951,1934,952
41,114,83,98,1951,1933,952
42,113,83,63,1950,1931,952
43,112,83,97,1950,1931,952
44,113,83,78,1950,1933,952
45,113,82,100,1951,1933,952
46,111,80,97,1951,1932,952
47,113,84,101,1950,1932,952
48,112,82,96,1953,1932,952
49,112,84,99,1951,1932,952
50,113,82,96,1953,1933,952
51,113,82,86,1949,1933,952
52,113,82,63,1950,1931,952
53,114,84,64,1950,1932,952
54,116,82,69,1951,1933,952
55,113,81,70,1949,1932,952
56,112,81,64,1947,1932,952
57,114,84,65,1948,1932,952
58,114,83,66,1950,1933,952
59,115,85,72,1949,1932,952
60,112,83,100,1950,1932,952
61,115,82,64,1952,1933,952
62,112,83,101,1952,1932,952
63,115,85,71,1947,1932,952
64,114,84,70,1951,1933,952
65,113,84,103,1951,1932,952
66,112,82,98,1954,1932,952
67,115,82,62,1952,1934,952
68,114,82,67,1949,1931,952
69,116,83,66,1951,1933,952
70,114,84,66,1950,1932,952
71,116,84,68,1951,1933,952
72,111,84,102,1951,1933,952
73,112,81,97,1950,1931,952
74,115,83,69,1951,1933,952
75,113,83,104,1953,1931,952
76,111,80,95,1952,1933,952
77,115,80,63,1952,1931,952
78,111,82,103,1950,1932,952
79,110,82,100,1951,1932,952
80,113,83,82,1949,1934,952
81,114,83,64,1948,1931,952
82,114,80,62,1951,1932,952
83,113,83,66,1951,1933,952
84,112,82,102,1949,1933,952
85,110,80,101,1950,1932,952
86,112,82,103,1951,1933,952
87,109,78,95,1953,1933,952
