foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start
FOC phase capture armed: 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,117,87,68,1947,1932,952
FPV,1,114,84,66,1949,1933,952
FPV,2,113,85,103,1951,1932,952
FPV,3,114,84,101,1952,1931,952
FPV,4,114,85,100,1953,1931,952
FPV,5,112,84,105,1950,1931,952
FPV,6,111,85,102,1949,1933,952
FPV,7,112,83,97,1952,1933,952
FPV,8,115,84,103,1952,1931,952
FPV,9,114,82,69,1950,1932,952
FPV,10,113,84,100,1951,1933,952
FPV,11,115,84,69,1951,1933,952
FPV,12,113,82,98,1951,1932,952
FPV,13,115,85,70,1950,1932,952
FPV,14,113,81,100,1951,1933,952
FPV,15,115,83,69,1951,1932,952
FPV,16,112,84,100,1951,1931,952
FPV,17,115,84,70,1951,1933,952
FPV,18,112,82,83,1949,1933,952
FPV,19,114,84,100,1953,1932,952
FPV,20,112,84,100,1951,1932,952
FPV,21,113,84,105,1949,1931,952
FPV,22,114,84,69,1952,1932,952
FPV,23,114,83,103,1952,1933,952
FPV,24,116,86,69,1951,1933,952
FPV,25,115,82,66,1951,1932,952
FPV,26,113,83,63,1950,1932,952
FPV,27,114,83,70,1948,1931,952
FPV,28,115,84,105,1952,1933,952
FPV,29,111,82,98,1951,1933,952
FPV,30,112,83,99,1951,1932,952
FPV,31,111,82,75,1949,1934,952
FPV,32,113,81,63,1947,1932,952
FPV,33,114,83,72,1949,1932,952
FPV,34,115,85,107,1953,1933,952
FPV,35,114,83,63,1950,1932,952
FPV,36,115,84,68,1950,1932,952
FPV,37,113,82,68,1949,1933,952
FPV,38,112,80,99,1953,1932,952
FPV,39,109,80,98,1950,1932,952
FPV,40,110,81,95,1951,1932,952
FPV,41,112,81,66,1950,1933,952
FPV,42,112,81,99,1952,1932,952
FPV,43,110,80,96,1951,1934,952
FPV,44,112,80,95,1951,1933,952
FPV,45,113,82,65,1951,1933,952
FPV,46,112,81,68,1950,1933,952
FPV,47,111,80,95,1951,1932,952
FPV,48,113,80,61,1951,1933,952
FPV,49,113,82,103,1953,1932,952
FPV,50,109,80,95,1951,1932,952
FPV,51,111,79,61,1951,1933,952
FPV,52,113,80,62,1951,1933,952
FPV,53,113,81,66,1951,1931,952
FPV,54,112,80,98,1952,1932,952
FPV,55,109,80,97,1950,1932,952
FPV,56,109,80,96,1951,1933,952
FPV,57,110,80,96,1951,1933,952
FPV,58,108,80,97,1951,1932,952
FPV,59,114,77,64,1951,1932,952
FPV,60,112,82,102,1953,1934,952
FPV,61,109,80,97,1950,1932,952
FPV,62,112,78,63,1950,1932,952
FPV,63,109,79,95,1953,1932,952
FPV,64,112,80,66,1950,1931,952
FPV,65,112,79,59,1951,1931,952
FPV,66,107,79,98,1951,1933,952
FPV,67,112,81,101,1953,1932,952
FPV,68,114,80,65,1950,1932,952
FPV,69,113,79,64,1951,1933,952
FPV,70,109,80,98,1950,1933,952
FPV,71,112,82,67,1951,1932,952
FPV,72,112,80,65,1950,1932,952
FPV,73,111,82,68,1947,1931,952
FPV,74,113,83,66,1949,1933,952
FPV,75,113,81,78,1951,1931,952
FPV,76,114,81,66,1950,1932,952
FPV,77,113,82,65,1950,1932,952
FPV,78,113,79,60,1951,1933,952
FPV,79,112,79,62,1951,1933,952
FPV,80,110,80,96,1955,1931,952
FPV,81,110,80,95,1956,1933,952
FPV,82,111,79,97,1951,1932,952
FPV,83,111,81,88,1951,1931,952
FPV,84,110,80,96,1951,1931,952
FPV,85,111,81,59,1948,1933,952
FPV,86,113,80,65,1951,1933,952
FPV,87,111,81,100,1950,1932,952
FPV,88,111,79,99,1952,1933,952
FPV,89,114,80,60,1950,1932,952
