time_s,step,state,phase_current_a,phase_current_b,phase_current_c,target_speed_rpm,observer_speed_rpm,true_speed_rpm,id_ref_a,iq_ref_a,id_a,iq_a,vd_v,vq_v,duty_a,duty_b,duty_c,dc_bus_voltage_v,control_angle_rad,forced_angle_rad,observer_angle_rad,true_angle_rad,observer_reliable,flags,observer_bemf_alpha_v,observer_bemf_beta_v,observer_bemf_magnitude_v,observer_pll_phase_error_rad,observer_speed_mean_rpm,observer_speed_variance_rpm2,observer_speed_variance_ratio,observer_reliability_flags,observer_reliable_samples,observer_wait_elapsed_s,observer_loss_elapsed_s,voltage_limited
0.02,240,3,0.0,0.013,-0.013,582.0,-151,,0.0,0.016,0.0,0.015,-0.01,0.098,0.499,0.507,0.493,12.288,0.0,0.0,0.679,,0,29534,0.103,0.103,0.14566399692442877,-1.474,0,0,,0,0,0.0,0.0,0
0.04,480,3,0.011,0.027,-0.038,582.0,-168,,0.0,0.032,0.011,0.038,-0.104,0.131,0.489,0.511,0.492,12.288,0.0,0.0,0.836,,0,29534,0.103,0.103,0.14566399692442877,-1.632,0,0,,0,0,0.0,0.0,0
0.06,720,3,0.002,0.041,-0.043,582.0,-172,,0.0,0.048,0.002,0.049,-0.021,0.282,0.497,0.52,0.48,12.288,0.0,0.0,0.857,,0,29534,0.103,0.103,0.14566399692442877,-1.653,0,0,,0,0,0.0,0.0,0
0.08,960,3,0.002,0.056,-0.057,582.0,-173,,0.0,0.064,0.002,0.065,-0.045,0.357,0.494,0.525,0.475,12.288,0.0,0.0,0.846,,0,29534,0.103,0.103,0.14566399692442877,-1.642,-167,53,0.0019003908350962745,43,0,0.0,0.0,0
0.1,1200,3,0.002,0.067,-0.069,582.0,-173,,0.0,0.08,0.002,0.078,-0.016,0.515,0.498,0.536,0.464,12.288,0.0,0.0,0.831,,0,29534,0.103,0.103,0.14566399692442877,-1.627,-172,3,0.00010140616549486209,43,0,0.0,0.0,0
0.12,1440,3,0.002,0.08,-0.081,582.0,-173,,0.0,0.096,0.002,0.093,-0.064,0.635,0.492,0.545,0.455,12.288,0.0,0.0,0.818,,0,29534,0.103,0.103,0.14566399692442877,-1.614,-173,0,0.0,43,0,0.0,0.0,0
0.14,1680,3,-0.005,0.097,-0.093,582.0,-117,,0.0,0.112,-0.005,0.11,0.192,1.142,0.523,0.581,0.419,12.288,0.0,0.0,0.689,,0,29534,0.103,0.254,0.2740894014733149,-1.08,-168,174,0.006164965986394558,59,0,0.0,0.0,0
0.16,1920,3,0.0,0.11,-0.11,582.0,-50,,0.0,0.128,0.0,0.127,-0.034,0.336,0.496,0.524,0.476,12.288,0.0,0.0,4.942,,0,29534,0.112,0.007,0.11221853679316979,-0.173,-148,955,0.04359934258582907,11,0,0.0,0.0,0
0.18,2160,3,0.0,0.126,-0.126,582.0,282,,0.0,0.144,0.0,0.146,-0.589,1.029,0.428,0.572,0.428,12.288,0.0,0.0,3.73,,0,29534,-0.069,0.166,0.17976929659983654,2.966,-53,17709,6.3043787824848705,11,0,0.0,0.0,0
0.2,2400,3,-0.01,0.137,-0.128,582.0,-263,,0.0,0.16,-0.01,0.153,0.389,1.278,0.548,0.59,0.41,12.288,0.0,0.0,1.049,,0,29534,0.141,0.174,0.22395758527006848,-1.746,-97,31966,3.3973854819853333,11,0,0.0,0.0,0
