foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >foc_trace start 50
FTR_HEADER,step,state,ia_ma,ib_ma,ic_ma,id_ref_ma,iq_ref_ma,id_ma,iq_ma,vd_mv,vq_mv,duty_a_pm,duty_b_pm,duty_c_pm,vbus_mv,control_angle_mrad,forced_angle_mrad,observer_angle_mrad,observer_speed_rpm,reliable,flags,bemf_alpha_mv,bemf_beta_mv,pll_phase_error_mrad,speed_mean_rpm,speed_variance_rpm2,gate_flags,reliable_samples,observer_wait_ms,observer_loss_ms,voltage_limited
FOC trace started: requested=50Hz actual=50Hz divider=240.
msh >
msh >foc_start 582
FOC ARMED: target=582rpm startup=582rpm/800mA observer=rust-smo-pll run/div=1/1 closed_loop=0.
msh >
msh >FTR,240,3,0,13,-13,0,16,0,15,-10,98,499,507,493,12288,0,0,679,-151,0,29534,103,103,-1474,0,0,0,0,0,0,0
FTR,480,3,11,27,-38,0,32,11,38,-104,131,489,511,492,12288,0,0,836,-168,0,29534,103,103,-1632,0,0,0,0,0,0,0
FTR,720,3,2,41,-43,0,48,2,49,-21,282,497,520,480,12288,0,0,857,-172,0,29534,103,103,-1653,0,0,0,0,0,0,0
FTR,960,3,2,56,-57,0,64,2,65,-45,357,494,525,475,12288,0,0,846,-173,0,29534,103,103,-1642,-167,53,43,0,0,0,0
FTR,1200,3,2,67,-69,0,80,2,78,-16,515,498,536,464,12288,0,0,831,-173,0,29534,103,103,-1627,-172,3,43,0,0,0,0
FTR,1440,3,2,80,-81,0,96,2,93,-64,635,492,545,455,12288,0,0,818,-173,0,29534,103,103,-1614,-173,0,43,0,0,0,0
FTR,1680,3,-5,97,-93,0,112,-5,110,192,1142,523,581,419,12288,0,0,689,-117,0,29534,103,254,-1080,-168,174,59,0,0,0,0
FTR,1920,3,0,110,-110,0,128,0,127,-34,336,496,524,476,12288,0,0,4942,-50,0,29534,112,7,-173,-148,955,11,0,0,0,0
FTR,2160,3,0,126,-126,0,144,0,146,-589,1029,428,572,428,12288,0,0,3730,282,0,29534,-69,166,2966,-53,17709,11,0,0,0,0
FTR,2400,3,-10,137,-128,0,160,-10,153,389,1278,548,590,410,12288,0,0,1049,-263,0,29534,141,174,-1746,-97,31966,11,0,0,0,0
FTR,2640,3,-2,152,-150,0,176,-2,174,21,969,503,568,432,12288,0,0,4250,32,0,29534,104,101,1233,-100,34882,11,0,0,0,0
FTR,2880,3,-3,169,-166,0,192,-3,194,-317,896,461,563,437,12288,0,0,1910,-335,0,29534,7,103,-2001,-140,40737,11,0,0,0,0
FTR,3120,3,3,180,-184,0,208,3,210,316,1003,539,571,429,12288,0,0,5144,-132,0,29534,195,103,46,-164,30727,11,0,0,0,0
FTR,3360,3,5,196,-201,0,224,5,229,-442,1286,446,591,409,12288,0,0,3171,203,0,29534,2,113,3103,-88,40384,11,0,0,0,0
FTR,3600,3,2,207,-209,0,240,2,241,404,1437,549,601,399,12288,0,0,252,-296,0,29534,204,109,-1351,-200,35113,11,0,0,0,0
FTR,3840,3,-3,223,-220,0,256,-3,256,-88,1563,489,610,390,12288,0,0,6015,-174,0,29534,103,116,-467,-174,31011,11,0,0,0,0
FTR,4080,3,0,238,-238,0,272,0,275,104,1564,513,610,390,12288,0,0,6100,-161,0,29534,102,103,-610,-217,18157,11,0,0,0,0
FTR,4320,3,5,249,-254,0,288,5,290,41,1628,505,615,385,12288,0,0,29,-161,0,29534,103,103,-826,-190,2271,11,0,0,0,0
FTR,4560,3,-6,263,-257,0,304,-6,300,-46,1760,494,624,376,12288,0,0,201,-160,0,29534,101,103,-987,-161,166,43,0,0,0,0
