sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
0,148,128,115,1949,1932,953
1,149,126,108,1951,1933,953
2,146,126,112,1950,1933,953
3,145,126,105,1950,1933,953
4,146,126,140,1950,1931,953
5,144,127,141,1951,1931,953
6,148,128,112,1950,1932,953
7,145,125,105,1946,1934,953
8,146,126,141,1951,1933,953
9,146,124,139,1951,1933,953
10,144,127,144,1950,1932,953
11,145,124,140,1951,1933,953
12,146,126,141,1951,1932,953
13,146,125,141,1951,1933,953
14,144,126,141,1950,1933,953
15,145,124,139,1951,1932,953
16,148,125,107,1952,1932,953
17,147,127,112,1947,1931,953
18,145,127,146,1951,1933,953
19,145,124,138,1950,1932,953
20,146,125,140,1951,1933,953
21,145,127,142,1952,1933,953
22,146,126,144,1951,1933,953
23,145,125,138,1950,1932,953
24,148,125,110,1950,1932,953
25,148,125,106,1951,1933,953
26,148,127,111,1950,1933,953
27,144,126,142,1949,1931,953
28,145,125,119,1952,1932,953
29,147,127,145,1953,1934,953
30,144,125,143,1950,1931,953
31,145,124,103,1950,1932,953
32,146,125,104,1950,1934,953
33,148,125,109,1951,1932,953
34,148,126,107,1952,1932,953
35,145,124,104,1950,1933,953
36,145,125,139,1951,1932,953
37,144,126,144,1949,1932,953
38,147,125,109,1950,1933,953
39,146,126,110,1950,1931,953
40,148,125,106,1952,1932,953
41,148,126,105,1950,1933,953
42,148,124,109,1950,1932,953
43,147,126,146,1954,1933,953
44,147,127,146,1952,1932,953
45,145,125,139,1951,1931,953
46,145,124,110,1948,1931,953
47,148,126,111,1950,1932,953
48,147,126,145,1953,1934,953
49,144,124,139,1951,1932,953
50,144,125,142,1950,1932,953
51,145,125,139,1949,1932,953
52,145,124,139,1951,1932,953
53,145,125,104,1949,1932,953
54,146,124,139,1951,1933,953
55,146,125,104,1948,1932,953
56,145,124,134,1952,1934,953
57,146,125,112,1950,1933,953
58,144,123,138,1950,1932,953
59,145,126,141,1951,1932,953
60,147,125,127,1952,1933,953
61,147,127,112,1948,1932,953
62,149,124,108,1951,1933,953
63,147,124,105,1952,1933,953
64,146,124,104,1949,1932,953
65,148,127,109,1951,1933,953
66,148,128,110,1950,1933,953
67,147,126,111,1947,1932,953
68,148,124,109,1950,1932,953
69,147,126,139,1951,1932,953
70,144,126,145,1951,1932,953
71,144,126,141,1950,1931,953
72,147,125,111,1948,1933,953
73,148,125,108,1950,1932,953
74,144,124,138,1953,1932,953
75,146,125,143,1953,1933,953
76,144,124,141,1951,1933,953
77,148,125,110,1951,1932,953
78,144,124,103,1947,1931,953
79,147,124,107,1951,1932,953
80,147,124,107,1949,1931,953
81,146,124,109,1951,1932,953
82,148,124,108,1950,1933,953
83,146,124,110,1949,1931,953
84,146,125,111,1951,1932,953
85,147,126,113,1949,1931,953
86,146,125,137,1951,1931,953
87,143,125,141,1951,1932,953
88,146,124,144,1951,1932,953
89,143,123,140,1951,1933,953
90,143,124,138,1951,1932,953
91,144,122,104,1949,1933,953
92,144,123,107,1949,1933,953
93,147,123,106,1951,1933,953
94,147,123,107,1951,1933,953
95,146,126,110,1950,1932,953
96,147,124,108,1951,1933,953
97,146,125,135,1952,1932,953
98,145,125,135,1951,1931,953
99,144,124,140,1951,1933,953
100,145,124,137,1952,1933,953
101,146,125,110,1951,1932,953
102,147,123,107,1950,1932,953
103,147,123,106,1950,1932,953
104,144,123,102,1948,1932,953
105,147,125,109,1951,1932,953
106,147,125,110,1951,1932,953
107,146,125,119,1948,1931,953
108,146,126,145,1953,1933,953
109,145,124,139,1951,1933,953
110,142,124,142,1949,1931,953
111,144,123,138,1950,1931,953
112,143,125,143,1950,1932,953
113,143,125,139,1951,1933,953
114,143,125,139,1951,1932,953
115,145,124,110,1949,1933,953
116,144,123,106,1948,1933,953
117,146,123,103,1949,1931,953
118,147,124,106,1951,1932,953
119,147,125,109,1950,1931,953
120,146,125,109,1951,1931,953
121,144,125,143,1950,1933,953
122,144,125,139,1950,1931,953
123,144,124,122,1950,1932,953
124,144,124,139,1951,1933,953
125,145,124,139,1951,1933,953
126,147,126,145,1953,1933,953
127,148,126,108,1950,1932,953
128,145,124,140,1952,1933,953
129,145,124,138,1953,1933,953
130,147,124,106,1951,1932,953
131,144,124,143,1949,1932,953
132,143,125,142,1949,1933,953
133,144,123,104,1950,1932,953
134,147,125,111,1951,1932,953
135,146,125,145,1951,1932,953
