foc_stop
FOC stopped; gate enable and TIM1 outputs are disabled.
msh >
msh >
foc_phase_capture stop
FOC phase capture stopped; IO_BEMF disabled.
msh >
msh >
foc_phase_capture start
FOC phase capture armed: 256 samples at 12kHz (~21.33ms), outputs remain DISABLED.
msh >
msh >
foc_phase_capture status
FOC phase capture state=complete rate=12000Hz samples=256/256 unread=256 window=21333us raw-only.
msh >
msh >
foc_phase_capture dump
FPV_HEADER,sequence,phase_u_raw,phase_v_raw,phase_w_raw,current_u_raw,current_v_raw,bus_last_raw
FPV,0,148,128,115,1949,1932,953
FPV,1,149,126,108,1951,1933,953
FPV,2,146,126,112,1950,1933,953
FPV,3,145,126,105,1950,1933,953
FPV,4,146,126,140,1950,1931,953
FPV,5,144,127,141,1951,1931,953
FPV,6,148,128,112,1950,1932,953
FPV,7,145,125,105,1946,1934,953
FPV,8,146,126,141,1951,1933,953
FPV,9,146,124,139,1951,1933,953
FPV,10,144,127,144,1950,1932,953
FPV,11,145,124,140,1951,1933,953
FPV,12,146,126,141,1951,1932,953
FPV,13,146,125,141,1951,1933,953
FPV,14,144,126,141,1950,1933,953
FPV,15,145,124,139,1951,1932,953
FPV,16,148,125,107,1952,1932,953
FPV,17,147,127,112,1947,1931,953
FPV,18,145,127,146,1951,1933,953
FPV,19,145,124,138,1950,1932,953
FPV,20,146,125,140,1951,1933,953
FPV,21,145,127,142,1952,1933,953
FPV,22,146,126,144,1951,1933,953
FPV,23,145,125,138,1950,1932,953
FPV,24,148,125,110,1950,1932,953
FPV,25,148,125,106,1951,1933,953
FPV,26,148,127,111,1950,1933,953
FPV,27,144,126,142,1949,1931,953
FPV,28,145,125,119,1952,1932,953
FPV,29,147,127,145,1953,1934,953
FPV,30,144,125,143,1950,1931,953
FPV,31,145,124,103,1950,1932,953
FPV,32,146,125,104,1950,1934,953
FPV,33,148,125,109,1951,1932,953
FPV,34,148,126,107,1952,1932,953
FPV,35,145,124,104,1950,1933,953
FPV,36,145,125,139,1951,1932,953
FPV,37,144,126,144,1949,1932,953
FPV,38,147,125,109,1950,1933,953
FPV,39,146,126,110,1950,1931,953
FPV,40,148,125,106,1952,1932,953
FPV,41,148,126,105,1950,1933,953
FPV,42,148,124,109,1950,1932,953
FPV,43,147,126,146,1954,1933,953
FPV,44,147,127,146,1952,1932,953
FPV,45,145,125,139,1951,1931,953
FPV,46,145,124,110,1948,1931,953
FPV,47,148,126,111,1950,1932,953
FPV,48,147,126,145,1953,1934,953
FPV,49,144,124,139,1951,1932,953
FPV,50,144,125,142,1950,1932,953
FPV,51,145,125,139,1949,1932,953
FPV,52,145,124,139,1951,1932,953
FPV,53,145,125,104,1949,1932,953
FPV,54,146,124,139,1951,1933,953
FPV,55,146,125,104,1948,1932,953
FPV,56,145,124,134,1952,1934,953
FPV,57,146,125,112,1950,1933,953
FPV,58,144,123,138,1950,1932,953
FPV,59,145,126,141,1951,1932,953
FPV,60,147,125,127,1952,1933,953
FPV,61,147,127,112,1948,1932,953
FPV,62,149,124,108,1951,1933,953
FPV,63,147,124,105,1952,1933,953
FPV,64,146,124,104,1949,1932,953
FPV,65,148,127,109,1951,1933,953
FPV,66,148,128,110,1950,1933,953
FPV,67,147,126,111,1947,1932,953
FPV,68,148,124,109,1950,1932,953
FPV,69,147,126,139,1951,1932,953
FPV,70,144,126,145,1951,1932,953
FPV,71,144,126,141,1950,1931,953
FPV,72,147,125,111,1948,1933,953
FPV,73,148,125,108,1950,1932,953
FPV,74,144,124,138,1953,1932,953
FPV,75,146,125,143,1953,1933,953
FPV,76,144,124,141,1951,1933,953
FPV,77,148,125,110,1951,1932,953
FPV,78,144,124,103,1947,1931,953
FPV,79,147,124,107,1951,1932,953
FPV,80,147,124,107,1949,1931,953
FPV,81,146,124,109,1951,1932,953
FPV,82,148,124,108,1950,1933,953
FPV,83,146,124,110,1949,1931,953
FPV,84,146,125,111,1951,1932,953
FPV,85,147,126,113,1949,1931,953
FPV,86,146,125,137,1951,1931,953
FPV,87,143,125,141,1951,1932,953
FPV,88,146,124,144,1951,1932,953
FPV,89,143,123,140,1951,1933,953
FPV,90,143,124,138,1951,1932,953
FPV,91,144,122,104,1949,1933,953
FPV,92,144,123,107,1949,1933,953
FPV,93,147,123,106,1951,1933,953
FPV,94,147,123,107,1951,1933,953
FPV,95,146,126,110,1950,1932,953
FPV,96,147,124,108,1951,1933,953
FPV,97,146,125,135,1952,1932,953
FPV,98,145,125,135,1951,1931,953
FPV,99,144,124,140,1951,1933,953
FPV,100,145,124,137,1952,1933,953
FPV,101,146,125,110,1951,1932,953
FPV,102,147,123,107,1950,1932,953
FPV,103,147,123,106,1950,1932,953
FPV,104,144,123,102,1948,1932,953
FPV,105,147,125,109,1951,1932,953
FPV,106,147,125,110,1951,1932,953
FPV,107,146,125,119,1948,1931,953
FPV,108,146,126,145,1953,1933,953
FPV,109,145,124,139,1951,1933,953
FPV,110,142,124,142,1949,1931,953
