kSlideV,boundaryA,emfAlpha,reliableSamples,holdSpeedRmseRpm,holdAngleRmseRad,peakIqA
0.25,0.016,0.05,896,54.8235103101209,0.510957301808492,0.198865214536516
0.25,0.016,0.1,8467,73.0311673309039,0.34540447637661,0.198865214536516
0.25,0.016,0.2,9699,82.0656161952756,0.271977893019402,0.198865214536516
0.25,0.016,0.4,9075,84.6124850866009,0.239642195564093,0.198865214536516
0.25,0.016,0.6,8915,85.0736104772095,0.229470509576062,0.198865214536516
0.25,0.016,0.8,8899,85.389538706101,0.224469736458902,0.198865214536516
0.25,0.032,0.05,832,50.7049942844671,0.526174746732983,0.198865214536516
0.25,0.032,0.1,9107,67.1203775279089,0.359605238760475,0.198865214536516
0.25,0.032,0.2,10003,75.1524289701752,0.282992426227156,0.198865214536516
0.25,0.032,0.4,10003,77.404666385537,0.248116462081573,0.198865214536516
0.25,0.032,0.6,9987,77.7666307528615,0.237036107726134,0.198865214536516
0.25,0.032,0.8,9987,77.8769915530011,0.231600728400451,0.198865214536516
0.25,0.064,0.05,496,42.2746527988764,0.547989543465817,0.198865214536516
0.25,0.064,0.1,8176,55.3281086233925,0.379637290876912,0.198865214536516
0.25,0.064,0.2,10547,61.7519764172579,0.298263961906384,0.198865214536516
0.25,0.064,0.4,10547,63.6322646907782,0.259817606090823,0.198865214536516
0.25,0.064,0.6,10547,63.9417549502829,0.247427730789658,0.198865214536516
0.25,0.064,0.8,10547,64.0320635793428,0.241322574184397,0.198865214536516
0.25,0.128,0.05,32,27.4776644600626,0.573572967435651,0.198865214536516
0.25,0.128,0.1,6992,34.9035503672582,0.402159096789065,0.198865214536516
0.25,0.128,0.2,10451,38.5918425758973,0.315326964335523,0.198865214536516
0.25,0.128,0.4,10851,39.7041518592196,0.273096657561238,0.198865214536516
0.25,0.128,0.6,10851,39.8831840816572,0.259305897754071,0.198865214536516
0.25,0.128,0.8,10851,39.9305303652427,0.252472681480917,0.198865214536516
0.5,0.016,0.05,10675,34.2266062181517,0.460842895323012,0.198865214536516
0.5,0.016,0.1,10707,41.5387711703578,0.322114444368052,0.198865214536516
0.5,0.016,0.2,10707,44.7481866198221,0.257870934410971,0.198865214536516
0.5,0.016,0.4,10691,45.9956061759871,0.2285724759085,0.198865214536516
0.5,0.016,0.6,10691,46.4561972120092,0.219379403909026,0.198865214536516
0.5,0.016,0.8,7811,104.422935999676,0.220042757972326,0.198865214536516
0.5,0.032,0.05,10835,30.6490168873836,0.472386507669611,0.198865214536516
0.5,0.032,0.1,10835,36.6868087867911,0.331097097603146,0.198865214536516
0.5,0.032,0.2,10851,39.5816069997944,0.264766014563756,0.198865214536516
0.5,0.032,0.4,10851,40.4531922931891,0.234065841716659,0.198865214536516
0.5,0.032,0.6,10851,40.6360625997474,0.224230895987791,0.198865214536516
0.5,0.032,0.8,10851,40.7935577345275,0.219431405660416,0.198865214536516
0.5,0.064,0.05,10835,24.0498822158624,0.492349359132849,0.198865214536516
0.5,0.064,0.1,10851,27.9053114488221,0.346877093783231,0.198865214536516
0.5,0.064,0.2,10851,29.5078220830264,0.27672631538167,0.198865214536516
0.5,0.064,0.4,10851,29.9959493216708,0.243377973979961,0.198865214536516
0.5,0.064,0.6,10851,30.1006754940129,0.232563080135394,0.198865214536516
0.5,0.064,0.8,10851,30.1453838614204,0.22722817551327,0.198865214536516
0.5,0.128,0.05,10899,12.853527459476,0.52060176494966,0.198865214536516
0.5,0.128,0.1,10899,12.9973339177814,0.369664346025839,0.198865214536516
0.5,0.128,0.2,10899,12.9910380639115,0.293724662572254,0.198865214536516
0.5,0.128,0.4,10915,13.0047787905094,0.256605970058777,0.198865214536516
0.5,0.128,0.6,10915,13.0307082901541,0.244452999925733,0.198865214536516
0.5,0.128,0.8,10915,13.0498229315903,0.238427480442131,0.198865214536516
0.75,0.016,0.05,10883,17.2321304735653,0.434771004634386,0.198865214536516
0.75,0.016,0.1,10883,19.4694246962423,0.311775143081285,0.198865214536516
0.75,0.016,0.2,10899,27.9681585333085,0.253673592815915,0.198865214536516
0.75,0.016,0.4,10883,48.7436088374119,0.226146020692503,0.198865214536516
0.75,0.016,0.6,10915,39.3206079928167,0.217536330833224,0.198865214536516
0.75,0.016,0.8,0,181.073487744847,0.22421359060364,0.198865214536516
0.75,0.032,0.05,10899,14.5026842077137,0.442027171503347,0.198865214536516
0.75,0.032,0.1,10899,13.7311898028269,0.317914294866235,0.198865214536516
0.75,0.032,0.2,10899,13.4325406777581,0.258046016763765,0.198865214536516
0.75,0.032,0.4,10915,13.5054787347542,0.229282573564843,0.198865214536516
0.75,0.032,0.6,10915,13.8419330160729,0.220026715551942,0.198865214536516
0.75,0.032,0.8,10915,20.8119949759868,0.216141849961602,0.198865214536516
0.75,0.064,0.05,10899,9.87035043377955,0.459736346018945,0.198865214536516
0.75,0.064,0.1,10899,8.51022226639456,0.330988084887878,0.198865214536516
0.75,0.064,0.2,10915,8.14460829727122,0.267355883633625,0.198865214536516
0.75,0.064,0.4,10915,8.18196620140353,0.236390396476684,0.198865214536516
0.75,0.064,0.6,10915,8.29117191755256,0.226287929894513,0.198865214536516
0.75,0.064,0.8,10915,8.45233039107064,0.221318031742074,0.198865214536516
0.75,0.128,0.05,10899,4.61018793047887,0.488191073683162,0.198865214536516
0.75,0.128,0.1,10899,4.3346142810746,0.350613723160333,0.198865214536516
0.75,0.128,0.2,10899,4.44712872053153,0.281429047254028,0.198865214536516
0.75,0.128,0.4,10915,4.57651041132091,0.247453007210286,0.198865214536516
0.75,0.128,0.6,10915,4.65035527631891,0.236285853754674,0.198865214536516
0.75,0.128,0.8,10915,4.70624929176222,0.230747451505468,0.198865214536516
1,0.016,0.05,10803,11.7568794309483,0.421275124453519,0.198865214536516
1,0.016,0.1,10883,19.9111689599342,0.307171078707006,0.198865214536516
1,0.016,0.2,10883,39.6080642187854,0.2523041456263,0.198865214536516
1,0.016,0.4,9715,96.0754766958796,0.226374034287664,0.198865214536516
1,0.016,0.6,6195,190.628262499788,0.241416089698436,0.198865214536516
1,0.016,0.8,0,265.976985250768,0.247261564420021,0.198865214536516
1,0.032,0.05,10899,8.43193904571671,0.427020361582641,0.198865214536516
1,0.032,0.1,10899,14.1473401146236,0.311563096294316,0.198865214536516
1,0.032,0.2,10915,5.23579008164344,0.253979434004029,0.198865214536516
1,0.032,0.4,10915,5.54908856798682,0.226585856246332,0.198865214536516
1,0.032,0.6,10915,7.8688068820733,0.218262130417595,0.198865214536516
1,0.032,0.8,0,203.4748260949,0.228008198092671,0.198865214536516
1,0.064,0.05,10899,4.19961905552969,0.441437818834056,0.198865214536516
1,0.064,0.1,10899,4.33422354034099,0.321289477473906,0.198865214536516
1,0.064,0.2,10915,4.46141234567412,0.261634806165848,0.198865214536516
1,0.064,0.4,10915,4.63689677809761,0.232346327749284,0.198865214536516
1,0.064,0.6,10915,4.81691514333711,0.222772110404649,0.198865214536516
1,0.064,0.8,10915,5.17470066919926,0.218147263759595,0.198865214536516
1,0.128,0.05,10899,4.19154928317805,0.46970135006493,0.198865214536516
1,0.128,0.1,10899,4.34909675609334,0.339904054070613,0.198865214536516
1,0.128,0.2,10899,4.45064620576752,0.274337475039009,0.198865214536516
1,0.128,0.4,10915,4.57329832819964,0.242055179110209,0.198865214536516
1,0.128,0.6,10915,4.65000582499504,0.231449982801047,0.198865214536516
1,0.128,0.8,10915,4.71572634754958,0.226197142432894,0.198865214536516
1.5,0.016,0.05,10803,19.7153102612044,0.423554961092601,0.198865214536516
1.5,0.016,0.1,10803,35.1508596215338,0.310247613525891,0.198865214536516
